회사명,거래소코드,회계년도,당기순이익,영업현금흐름,자본,유동비율,부채비율,매출액총이익률,총자본회전률,자기자본정상영업이익률,ROA
(주)강스템바이오텍,217730,2022-12-01,-20176261,-18864025,47260294,232.93,70.53,29.89,0.18,-36.3,-25.03515839502341
(주)강원에너지,114190,2011-11-01,-20176261,-18864025,47260294,232.93,70.53,29.89,0.18,-36.3,-25.03515839502341
(주)강원에너지,114190,2012-12-01,-20176261,-18864025,47260294,232.93,70.53,29.89,0.18,-36.3,-25.03515839502341
(주)강원에너지,114190,2013-12-01,-20176261,-18864025,47260294,232.93,70.53,29.89,0.18,-36.3,-25.03515839502341
(주)강원에너지,114190,2014-12-01,-20176261,-18864025,47260294,232.93,70.53,29.89,0.18,-36.3,-25.03515839502341
(주)강원에너지,114190,2015-12-01,102482,9499050,56583901,333.65,51.03,17.15,0.54,0.79,0.11992165879684438
(주)강원에너지,114190,2016-12-01,-1125371,-15783876,55088690,444.3,40.11,16.59,0.52,-2.35,-1.4579874129975348
(주)강원에너지,114190,2017-12-01,-6451819,-3706818,48303010,202.02,92.91,1.05,0.96,-10.81,-6.924083451326159
(주)강원에너지,114190,2018-12-01,1708887,-10173085,50203707,161.8,86.93,6.86,0.92,0.69,1.820956376249425
(주)강원에너지,114190,2019-12-01,-35647438,6960049,21124556,99.04,167.94,-14.43,0.57,-48.16,-62.97904371436073
(주)강원에너지,114190,2020-12-01,-12874763,-4483215,17096338,172.82,92.84,-4.85,0.86,-48.28,-39.051548872085576
(주)강원에너지,114190,2021-12-01,-12874763,-4483215,17096338,172.82,92.84,-4.85,0.86,-48.28,-39.051548872085576
(주)강원에너지,114190,2022-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2014-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2015-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
(주)고려시멘트,198440,2016-12-01,3456098,-3888528,32317889,108.12,161.28,8.47,0.85,8.1,4.092999889624776
