,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률
11,(주)MH에탄올,23150,2016/12,-8.43,7.05,4.71,9.84,-2.96,-8.51,30.54,24.28,16.66,19.55,13.41,0.6,78.78,86.9,0.65,0.81,3.27,2.32,2.96,10.7,4.65,1.39,0.07,392.63,860.18,47.99,1675.0,23.63,46.21,1129.0,1659.66,1314.52,828.18,34.95,28.32,87.89,257.95,185.46,17.87,45.89,0.0,13.77,146.33,233.68,17.71,26.21,6626.94,7668.54,16.414886199444116,11.258945005184083
12,(주)MH에탄올,23150,2017/12,591.43,-31.65,-17.16,3.63,6.3,11.63,28.38,15.62,8.29,9.53,10.42,-1.46,88.65,90.08,0.18,0.61,0.26,0.99,1.11,9.33,4.99,0.34,0.0,310.05,0.0,0.0,0.0,2.84,3.65,942.0,452.24,1410.23,614.75,27.32,41.08,21.36,44.64,41.69,7.8,0.0,2379.05,368.17,1.98,3.07,1.56,14.99,7044.38,7815.54,1.622757528175562,0.8613033826380685
13,(주)MH에탄올,23150,2018/12,-12.0,-84.87,-108.83,-5.46,40.05,4.17,26.47,1.69,-16.53,1.24,-0.93,14.97,112.24,99.39,0.15,0.73,0.2,1.27,1.42,11.99,6.8,0.33,0.0,320.95,0.0,0.0,0.0,3.83,4.32,-87.0,-1527.36,1355.58,814.98,23.15,54.67,20.81,20.96,16.33,4.89,0.0,1679.28,380.62,-1.14,-1.81,-0.9,-5.45,9865.91,8335.92,0.2790246970425157,-2.7337670306259594
14,(주)MH에탄올,23150,2019/12,2.57,537.44,0.0,-7.78,11.1,-6.0,32.96,9.68,-9.34,9.16,-0.88,12.76,105.78,101.53,0.18,0.95,0.22,2.59,3.39,11.0,8.08,0.33,0.0,108.44,0.0,0.0,0.0,5.0,5.62,-79.0,1540.81,1277.63,1121.61,27.91,44.05,17.58,11.62,8.73,3.21,0.0,1797.11,468.69,0.01,0.02,0.01,0.06,10961.45,7140.62,1.7341187264658746,-1.6727509127642752
15,(주)MH에탄올,23150,2020/12,-0.4,101.58,0.0,6.85,17.02,14.89,36.79,16.67,4.02,19.75,11.49,12.52,94.65,101.94,0.21,1.18,0.26,2.68,3.5,11.45,9.91,0.38,0.0,205.45,0.0,0.0,0.0,10.06,11.5,1049.0,2573.11,1363.18,2584.8,47.78,22.03,17.89,25.82,20.1,8.54,0.0,1936.0,459.13,4.11,6.34,3.38,16.04,12827.12,6887.42,3.5095946563845675,0.8456743376568451
16,(주)MH에탄올,23150,2021/12,0.4,47.86,-13.4,2.38,7.84,-1.85,42.97,22.86,8.51,28.26,9.52,11.6,88.82,104.09,0.23,1.24,0.28,2.27,2.83,11.64,10.46,0.38,0.0,269.73,0.0,0.0,0.0,12.51,14.71,908.0,3574.08,1394.96,1940.33,55.34,26.28,18.76,17.51,14.42,8.94,0.0,1829.19,432.99,6.18,9.6,5.02,22.22,13832.97,6868.04,5.168846438283521,1.924611377956505
17,(주)MH에탄올,23150,2022/12,-0.89,-6.04,-15.66,5.94,8.48,-1.89,39.07,19.8,10.75,24.35,7.71,10.0,90.97,103.12,0.25,1.23,0.31,2.11,2.55,12.33,10.27,0.37,0.0,280.46,0.0,0.0,0.0,12.08,14.46,766.0,2233.15,1476.15,1861.49,48.81,27.34,21.32,27.62,23.02,7.82,0.0,1845.36,369.03,6.09,9.32,4.79,19.35,15006.03,7551.13,4.900069105069018,2.6608788329272115
18,(주)SH에너지화학,2360,2012/12,-0.97,-47.6,-81.28,-0.29,11.97,2.75,7.8,1.13,0.11,3.36,0.61,0.65,99.59,6.05,1.86,2.98,4.96,3.85,5.14,15.32,6.81,2.36,0.0,117.54,284.79,119.73,915.11,14.0,45.27,3.5,-7.69,14.69,108.26,7.49,70.26,62.57,171.22,123.05,7.42,67.64,1264.27,59.82,6.4,8.7,2.4,1.28,1743.64,575.79,2.105489947108725,0.203350234019516
19,(주)SH에너지화학,2360,2013/12,6.56,194.26,1146.78,7.81,19.57,3.57,7.74,2.77,1.99,9.55,7.35,0.52,97.71,12.26,2.17,3.45,5.82,4.23,5.56,17.73,7.81,2.66,0.0,161.43,268.24,112.79,948.14,18.86,66.7,43.5,53.53,23.54,159.25,8.98,57.97,62.99,168.09,134.09,15.75,49.93,1206.44,58.75,6.23,9.1,2.31,1.1,2086.67,601.06,5.814361474026485,4.169531847578135
20,(주)SH에너지화학,2360,2014/12,0.23,231.12,238.32,20.89,-0.43,20.69,14.4,9.21,7.25,27.66,21.7,0.34,90.96,26.39,2.09,3.0,6.85,3.87,4.94,17.87,7.43,2.64,0.0,241.4,216.82,90.48,779.27,33.51,122.0,147.2,222.69,49.06,292.95,16.07,35.16,76.07,291.69,224.49,37.69,35.06,1384.72,31.46,57.91,160.41,13.86,6.65,2077.67,691.41,19.20863078794005,15.110021132384563
21,(주)SH에너지화학,2360,2015/12,4.32,7.89,-22.92,8.99,-6.27,4.29,17.24,10.6,5.82,26.1,14.62,0.09,91.94,31.84,1.91,2.46,8.59,3.37,4.21,16.78,7.11,2.6,0.0,239.01,221.1,94.6,781.15,31.5,112.7,113.4,221.62,62.33,263.46,16.81,45.6,79.33,399.36,329.69,115.03,23.27,2729.66,26.05,103.42,358.77,21.37,11.41,1947.47,759.82,19.86671725037462,10.899011316809071
22,(주)SH에너지화학,2360,2016/12,7.76,5.02,42.44,13.99,0.9,1.37,17.69,11.04,8.26,24.63,18.66,-0.07,89.41,39.53,1.82,2.23,9.87,2.87,3.39,18.61,6.05,2.4,0.0,266.29,0.0,0.0,0.0,32.85,130.53,161.6,105.14,84.85,304.32,18.72,38.5,83.61,673.11,580.63,211.38,16.14,2792.03,19.6,89.01,510.0,14.59,8.31,1965.07,861.64,19.36011489683194,14.482338175463989
23,(주)SH에너지화학,2360,2017/12,0.66,-41.16,-46.61,3.22,-13.87,0.0,13.98,7.54,5.25,13.39,9.21,-0.1,93.35,40.46,1.51,1.78,9.9,2.19,2.68,11.92,5.24,1.95,0.0,184.19,207.04,88.11,832.85,23.24,94.63,86.3,127.84,90.76,223.37,15.48,50.35,85.94,1057.37,816.13,399.76,25.2,1678.27,16.36,73.48,364.34,10.33,6.88,1692.59,901.92,11.31728690897772,7.883558525376556
24,(주)SH에너지화학,2360,2018/12,-2.3,-85.19,-75.89,-1.92,-2.4,5.41,6.68,1.14,1.11,1.97,2.21,-0.11,98.53,39.13,1.48,1.72,10.59,2.12,2.8,8.69,6.5,1.95,0.0,127.24,0.0,0.0,0.0,16.27,67.41,20.8,46.81,87.25,164.52,10.85,76.76,86.08,1287.95,953.73,441.48,28.13,2749.34,16.17,56.94,277.3,7.93,5.29,1651.96,904.99,1.715747461595544,1.6609427304035616
