Unnamed: 0,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,부실
1573,(주)에스엠벡셀,10580,2015/12,-11.83,0.0,0.0,-14.08,-5.76,-27.93,2.57,0.1,-3.46,0.57,-20.11,1.61,103.35,-86.46,1.27,5.8,1.62,3.92,5.19,15.96,10.79,1.59,0.05,67.39,339.52,111.26,498.37,13.52,19.85,-109.0,23.08,0.28,60.57,9.98,84.08,21.56,59.87,43.58,1.9,0.0,64.04,363.73,2.04,3.15,1.6,1.18,3141.94,473.41,0.1324868670788933,-4.690850159087679,0
1574,(주)에스엠벡셀,10580,2016/12,-6.12,0.0,0.0,27.62,-11.3,-3.88,-2.5,-5.75,-7.11,-28.13,-34.8,1.79,107.01,-100.81,1.24,4.9,1.66,4.33,5.86,16.59,10.96,1.61,0.05,51.11,337.54,105.0,486.73,10.5,15.14,-182.0,88.19,-19.57,48.67,8.21,114.44,29.31,58.36,43.78,6.11,0.0,48.11,241.13,4.09,7.97,2.89,2.26,2388.48,529.06,-7.354379988952532,-9.098659110196024,0
1575,(주)에스엠벡셀,10580,2017/12,-11.44,0.0,0.0,10.99,-6.64,-5.65,-0.73,-4.0,-7.53,-15.46,-29.09,2.53,107.45,-116.42,1.27,3.86,1.89,4.77,6.67,16.67,11.13,1.71,0.05,52.19,0.0,0.0,0.0,11.43,15.31,-121.0,-78.19,-21.55,51.63,8.47,109.03,36.74,52.66,35.01,5.11,0.0,87.93,172.18,-1.28,-2.15,-0.81,-0.6,1515.98,410.08,-5.398477592056444,-10.157320526695088,0
1576,(주)에스엠벡셀,10580,2018/12,19.21,0.0,0.0,36.58,10.43,1.71,6.53,3.14,3.56,10.75,12.21,0.96,96.49,-73.3,1.36,3.43,2.25,5.86,9.68,14.83,12.97,2.23,0.05,105.11,326.31,93.51,535.43,19.63,32.21,55.0,110.28,-3.51,112.41,15.71,50.73,42.09,72.01,39.75,5.45,0.0,62.43,137.56,3.28,5.7,1.9,1.52,1430.52,472.93,3.9191257365077545,4.449863012202261,0
1577,(주)에스엠벡셀,10580,2019/12,15.87,0.0,0.0,-27.81,-1.7,2.52,1.59,-6.02,-14.3,-20.39,-48.48,0.94,114.17,-166.05,1.14,3.39,1.71,4.82,7.03,15.35,12.46,1.72,0.05,5.13,304.52,91.39,605.13,0.85,1.68,-203.0,103.55,-39.94,5.61,0.8,1294.71,26.23,47.22,37.44,0.01,0.0,44.52,281.29,11.46,28.61,8.45,7.97,1277.82,315.69,-6.378201524328634,-15.164929846182112,0
1578,(주)에스엠벡셀,10580,2020/12,-13.87,0.0,0.0,-50.88,-9.66,-10.66,3.55,-5.63,-15.63,-27.59,-76.57,2.23,114.28,-442.34,1.03,4.9,1.3,4.43,5.71,19.72,10.06,1.19,0.04,23.32,445.63,242.67,583.38,4.0,5.23,-171.0,99.71,-70.45,9.61,3.59,330.51,14.96,28.43,21.4,2.73,0.0,39.33,568.59,11.82,40.91,10.05,9.04,1094.9,141.21,-6.262764306237104,-17.383718748689816,0
1579,(주)에스엠벡셀,10580,2021/12,0.0,0.0,0.0,0.0,0.0,2.75,-1.76,-11.2,-22.72,-25.29,-51.32,0.47,122.51,-155.88,1.53,2.26,4.72,7.85,11.5,24.73,18.32,3.74,0.03,-43.21,0.0,0.0,0.0,-10.12,-13.01,-256.0,-49.46,-1.17,-26.83,-6.62,0.0,67.64,91.22,62.27,14.96,0.0,59.4,47.84,-20.93,-18094.79,-6.77,-4.43,1115.73,497.28,-17.103174549255645,-34.71287724993292,1
1580,(주)에스엠벡셀,10580,2022/12,212.68,0.0,0.0,106.99,87.18,145.54,13.83,2.5,6.74,6.9,18.56,0.8,97.49,-60.44,1.39,2.75,2.79,2.89,7.44,4.73,16.73,1.5,0.14,85.73,0.0,0.0,0.0,15.76,44.26,91.0,44.27,20.53,127.76,17.23,62.57,44.78,110.67,39.51,15.01,666.93,102.23,123.33,0.71,2.68,0.39,0.43,1370.0,668.14,2.2894226026762063,6.164003954077253,0
1618,(주)에스지글로벌,1380,2015/12,0.98,0.0,0.0,-5.19,-7.12,-55.06,6.09,-4.15,-6.08,-3.84,-5.63,1.59,105.87,40.61,0.56,0.93,1.39,2.55,6.36,4.24,9.94,1.16,0.36,38.8,68.98,40.08,1535.93,2.98,20.36,-164.0,45.51,466.06,68.44,5.39,145.44,58.14,68.13,28.39,7.24,0.0,100.47,72.01,-5.89,-9.35,-2.47,-4.46,2691.38,2338.08,-2.296523010994966,-3.36485403181737,0
1619,(주)에스지글로벌,1380,2016/12,3.44,0.0,0.0,-0.32,25.9,0.9,9.29,2.57,-0.94,3.09,-1.12,1.28,99.48,42.35,0.68,1.2,1.59,2.71,5.48,5.38,7.71,1.14,1.65,120.28,0.0,0.0,0.0,7.03,58.96,-32.0,-118.49,464.27,259.05,10.44,57.19,56.02,75.7,42.26,6.42,0.0,220.27,78.5,-1.65,-2.6,-0.72,-1.08,3388.37,2414.79,1.7332474020759028,-0.6296883275310668,0
