,회사명,거래소코드,회계년도,외환보유액(천달러),경기동행지수,총자본투자효율,CASH FLOW 대 총자본비율,CASH FLOW 대 부채비율,부가가치율,타인자본회전률,자기자본정상영업이익률,순운전자본회전률,당좌비율,순이익증가율,정상영업이익증가율,부실
39,(주)SH에너지화학,2360,2022,399043064,108.8,17.19,-2.47,-10.2,12.75,5.78,0.87,1.82,561.05,199.8646651731287,134.88,0.0
40,(주)SIMPAC,9160,2012,316897731,82.1,13.74,4.96,12.07,19.42,1.65,14.12,0.85,117.58,-22.78434229653156,-7.88,0.0
41,(주)SIMPAC,9160,2013,335647450,85.0,12.74,3.48,8.23,22.41,1.45,11.9,0.82,62.03,3.928993351397003,-6.32,0.0
42,(주)SIMPAC,9160,2014,353600472,87.2,13.54,6.09,14.28,19.65,1.67,8.1,1.0,76.17,-28.59405567743433,-26.52,0.0
43,(주)SIMPAC,9160,2015,358513845,91.0,14.18,5.29,11.71,22.25,1.52,9.42,0.86,69.62,14.93576268108613,22.48,0.0
44,(주)SIMPAC,9160,2016,361701404,94.1,14.14,5.44,12.82,22.13,1.45,9.98,0.79,84.21,-1.617814205530915,10.95,0.0
45,(주)SIMPAC,9160,2017,379476576,97.3,11.36,3.37,9.16,18.77,1.45,4.86,0.75,85.28,-20.31744870485953,-50.36,0.0
46,(주)SIMPAC,9160,2018,393332482,98.7,16.76,2.04,5.64,37.32,1.58,3.02,0.75,87.82,436.6018391093031,-12.89,0.0
47,(주)SIMPAC,9160,2019,397876077,101.2,9.64,5.51,15.72,15.22,1.77,2.54,0.82,91.59,-86.28943106010966,9.33,0.0
48,(주)SIMPAC,9160,2020,430117234,101.6,13.08,1.39,3.74,26.37,1.43,1.72,0.66,88.93,259.8358516602238,-30.1,0.0
49,(주)SIMPAC,9160,2021,438319248,106.3,19.83,2.59,6.55,29.22,1.95,21.06,0.83,112.22,166.0639598419238,1266.33,0.0
50,(주)SIMPAC,9160,2022,399043064,108.8,16.46,3.46,9.13,23.63,1.86,20.75,0.75,108.3,-16.17863680020743,11.79,0.0
51,(주)가비아,79940,2012,316897731,82.1,36.43,13.42,43.49,44.97,3.24,14.16,1.54,213.68,34.2734086406661,-6.86,0.0
52,(주)가비아,79940,2013,335647450,85.0,35.98,14.27,57.53,46.45,2.89,11.03,1.42,248.8,0.9190750242272548,-7.7,0.0
53,(주)가비아,79940,2014,353600472,87.2,34.68,14.73,63.03,42.5,3.52,11.63,1.45,258.29,-28.96127833861595,19.18,0.0
54,(주)가비아,79940,2015,358513845,91.0,39.68,16.88,84.54,45.5,4.16,14.22,1.48,395.42,26.32331156981236,35.39,0.0
55,(주)가비아,79940,2016,361701404,94.1,36.1,14.76,62.2,44.44,4.02,13.94,1.4,288.81,19.31242358839058,10.57,0.0
56,(주)가비아,79940,2017,379476576,97.3,36.5,14.36,57.21,41.89,3.67,12.98,1.32,219.17,-4.992019304979473,1.3,0.0
57,(주)가비아,79940,2018,393332482,98.7,41.1,13.97,56.79,48.35,3.64,16.99,1.27,255.35,58.64799346157908,43.08,0.0
58,(주)가비아,79940,2019,397876077,101.2,66.57,14.71,45.28,89.74,2.9,19.05,1.25,195.45,37.5586701134574,30.5,0.0
59,(주)가비아,79940,2020,430117234,101.6,35.27,16.74,50.12,54.25,2.23,18.53,1.11,238.12,12.55473432156263,20.26,0.0
60,(주)가비아,79940,2021,438319248,106.3,34.39,15.02,46.26,51.98,2.16,17.52,1.03,249.77,5.25001558833229,15.94,0.0
61,(주)가비아,79940,2022,399043064,108.8,33.68,15.08,44.2,51.87,2.13,18.43,0.97,267.1,66.38664820651339,24.51,0.0
62,(주)가온칩스,399720,2022,399043064,108.8,24.88,8.09,31.51,42.03,2.31,7.17,0.62,382.42,0.0,0.0,0.0
63,(주)강원랜드,35250,2012,316897731,82.1,24.52,14.87,80.84,54.99,2.62,17.49,0.79,224.59,-19.66190423250207,-17.13,0.0
64,(주)강원랜드,35250,2013,335647450,85.0,27.01,14.04,74.52,61.55,2.43,15.87,0.82,189.21,-2.819014965363109,-4.16,0.0
65,(주)강원랜드,35250,2014,353600472,87.2,26.79,13.85,69.79,60.41,2.39,19.65,0.82,219.47,20.75032896825175,32.25,0.0
66,(주)강원랜드,35250,2015,358513845,91.0,27.67,14.7,78.31,62.51,2.4,20.88,0.74,263.14,22.89713674328598,16.02,0.0
67,(주)강원랜드,35250,2016,361701404,94.1,26.22,14.72,80.65,61.49,2.39,19.79,0.69,251.53,2.92203524875957,3.9,0.0
68,(주)강원랜드,35250,2017,379476576,97.3,23.89,12.66,77.4,62.33,2.27,15.72,0.6,317.46,-3.738590457170082,-14.18,0.0
69,(주)강원랜드,35250,2018,393332482,98.7,19.7,9.77,64.16,57.96,2.16,12.15,0.55,276.38,-32.06643128015574,-18.87,0.0
70,(주)강원랜드,35250,2019,397876077,101.2,20.46,8.69,53.57,59.73,2.23,13.72,0.62,287.8,12.58828005263586,16.36,0.0
71,(주)강원랜드,35250,2020,430117234,101.6,0.81,-3.4,-31.4,6.14,0.86,-12.39,0.22,453.38,-182.4371419532153,0.0,0.0
72,(주)강원랜드,35250,2021,438319248,106.3,12.09,-5.81,-38.71,58.68,1.63,-1.62,0.4,326.31,96.16423069142634,0.0,0.0
73,(주)강원랜드,35250,2022,399043064,108.8,16.35,7.57,41.94,53.62,1.92,6.53,0.63,174.85,1192.532871118228,0.0,0.0
74,(주)경농,2100,2012,316897731,82.1,14.5,3.27,7.48,28.52,1.16,8.39,0.56,38.82,1922.967876875746,0.0,0.0
75,(주)경농,2100,2013,335647450,85.0,20.75,5.34,14.74,27.05,1.87,11.93,0.88,42.31,35.30349487053724,47.54,0.0
76,(주)경농,2100,2014,353600472,87.2,16.63,5.84,14.38,25.11,1.81,8.83,0.87,45.72,-49.10983309330177,-21.99,0.0
77,(주)경농,2100,2015,358513845,91.0,14.83,0.77,1.71,23.88,1.53,7.05,0.78,39.99,-1.674994946688444,-17.35,0.0
78,(주)경농,2100,2016,361701404,94.1,15.03,0.96,2.24,23.65,1.46,5.11,0.75,35.77,-8.804476883246672,-24.3,0.0
79,(주)경농,2100,2017,379476576,97.3,16.59,4.74,11.07,26.98,1.47,4.49,0.75,36.12,58.33727234811622,-7.86,0.0
80,(주)경농,2100,2018,393332482,98.7,16.22,3.7,8.48,27.25,1.42,7.5,0.73,38.2,-51.60023739409384,74.84,0.0
81,(주)경농,2100,2019,397876077,101.2,15.09,1.29,2.84,24.6,1.4,4.31,0.75,41.85,-17.70575181421221,-41.16,0.0
82,(주)경농,2100,2020,430117234,101.6,17.84,2.0,4.64,26.69,1.51,6.91,0.78,40.76,231.1593697504947,64.34,0.0
83,(주)경농,2100,2021,438319248,106.3,17.04,3.43,8.78,24.51,1.73,7.48,0.82,56.76,21.15575434135222,17.34,0.0
84,(주)경농,2100,2022,399043064,108.8,19.9,2.81,6.71,24.69,2.13,16.48,0.97,62.81,91.71404394701128,144.5,0.0
85,(주)경동나비엔,9450,2012,316897731,82.1,22.83,7.2,17.42,18.05,3.46,8.1,1.66,85.68,-3.137818509577932,12.11,0.0
86,(주)경동나비엔,9450,2013,335647450,85.0,22.33,6.84,14.5,19.13,2.84,10.9,1.57,41.69,21.37011428069791,42.08,0.0
87,(주)경동나비엔,9450,2014,353600472,87.2,20.16,0.95,1.81,18.88,2.26,7.14,1.36,41.02,-15.71973360760502,-31.94,0.0
88,(주)경동나비엔,9450,2015,358513845,91.0,26.79,3.79,7.77,21.03,2.51,12.23,1.5,40.12,78.59172239306938,79.9,0.0
89,(주)경동나비엔,9450,2016,361701404,94.1,33.01,12.22,27.5,24.32,3.01,20.61,1.69,48.13,123.6743314231137,89.21,0.0
90,(주)경동나비엔,9450,2017,379476576,97.3,29.39,8.08,16.47,21.62,3.12,19.29,1.7,54.82,-27.89116946167278,4.2,0.0
91,(주)경동나비엔,9450,2018,393332482,98.7,28.21,0.5,0.96,22.65,2.64,15.21,1.44,49.78,-8.40362552094583,-14.56,0.0
92,(주)경동나비엔,9450,2019,397876077,101.2,32.03,5.27,10.41,25.23,2.53,15.43,1.4,50.38,12.54034480743873,9.86,0.0
93,(주)경동나비엔,9450,2020,430117234,101.6,31.41,9.27,17.62,26.42,2.51,20.67,1.41,53.98,49.49443650368787,49.69,0.0
94,(주)경동나비엔,9450,2021,438319248,106.3,33.51,7.4,14.3,28.37,2.54,16.1,1.37,49.07,93.71482918271047,-4.18,0.0
95,(주)경동나비엔,9450,2022,399043064,108.8,30.02,4.42,9.0,26.32,2.36,12.35,1.25,49.84,-33.56820249451034,-7.04,0.0
96,(주)경동도시가스,267290,2018,393332482,98.7,13.55,9.0,15.3,6.57,3.68,13.88,2.1,117.83,91.95263930399749,96.9,0.0
97,(주)경동도시가스,267290,2019,397876077,101.2,12.78,10.31,18.85,6.74,3.28,8.5,1.85,122.62,-27.88381772372838,-34.23,0.0
98,(주)경동도시가스,267290,2020,430117234,101.6,12.82,2.45,5.0,8.25,2.89,5.21,1.67,125.6,-22.81516195809882,-35.36,0.0
99,(주)경동도시가스,267290,2021,438319248,106.3,10.68,15.34,26.22,6.63,2.75,7.23,1.48,117.11,16.48092563580644,0.0,0.0
100,(주)경동도시가스,267290,2022,399043064,108.8,9.01,8.96,14.22,4.17,3.84,6.56,2.03,115.06,9.253388678873227,-6.86,0.0
101,(주)경동인베스트,12320,2012,316897731,82.1,11.16,9.88,15.66,5.39,3.69,11.68,1.95,122.11,41.3869213806492,39.16,0.0
102,(주)경동인베스트,12320,2013,335647450,85.0,11.7,9.12,15.56,5.06,3.79,10.69,1.96,128.23,16.23794911108654,1.29,0.0
103,(주)경동인베스트,12320,2014,353600472,87.2,6.18,3.41,6.31,3.13,3.67,8.67,1.93,135.97,52.34250376264712,-5.16,0.0
104,(주)경동인베스트,12320,2015,358513845,91.0,-2.63,-1.26,-2.49,-1.91,2.46,-2.25,1.41,143.4,-127.9879841548589,0.0,0.0
105,(주)경동인베스트,12320,2016,361701404,94.1,2.32,-1.04,-2.17,2.21,2.09,4.92,1.3,147.5,190.0290051615447,0.0,0.0
