,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률
0,(주)HJ매그놀리아용평호텔앤리조트,70960,2016/12,-4.3,14.92,23.29,26.73,19.51,0.0,23.23881198451074,14.42,6.8,8.56,4.04,5.22,91.37,34.73,0.22,0.59,0.35,0.8,0.86,11.03,1.36,0.34,0.0,222.12,2150.24,0.0,2966.36,7.73,10.67,297.5336447197622,-431.17,64.72,0.0,34.08,30.11771758086904,42.68,77.07,72.45,24.23,-20.14468269193264,7094.91,134.32,1.67,6.9,0.96,4.23,4782.96,8769.03,3.269730854206731,1.541670502106813
1,(주)HJ매그놀리아용평호텔앤리조트,70960,2017/12,-6.543919448835113,10.28,18.37798644618926,2.961109928775045,-0.4863192297505671,2.56,22.5711954242099,15.98,8.09,8.33,4.21,5.12,89.61,36.5,0.23,0.52,0.42,1.1,1.19,14.84558050798586,1.84,0.44,0.0,234.68,2211.52,0.0,2703.09,8.95,10.95,352.2143376192129,370.0,69.59,0.0,37.06,29.05886375712971,47.02,55.39,49.94,12.62,-12.23117031355449,5053.47,112.69,-0.13,-0.42,-0.07,-0.28,4356.18,8146.08,3.858407698554864,1.952787327764895
2,(주)HJ매그놀리아용평호텔앤리조트,70960,2018/12,-6.379099434577287,-26.67,-39.91746715231593,1.467335192355861,-13.49160770507272,7.79,22.90853342589777,13.54,5.62,5.97,2.48,5.59,92.82,37.11,0.22,0.44,0.42,1.47,1.66,13.22035253332536,3.29,0.52,0.0,207.03,0.0,0.0,0.0,9.12,10.7,211.6192950943165,1090.82,72.09,0.0,40.89,34.63610029902878,50.96,55.57,48.41,31.88,-16.11075968686151,1474.81,96.24,8.82,22.8,4.33,19.38,3768.46,8287.53,3.022085442471421,1.253228798872596
3,(주)HJ매그놀리아용평호텔앤리조트,70960,2019/12,4.571947780421961,-116.79,-235.3978650182771,-4.439784673347575,-28.64421114556207,1.73,10.25877288067813,-3.19,-10.66,-1.02,-3.41,9.57,113.18,34.26,0.16,0.32,0.3,1.22,1.41,8.820033977550258,6.08,0.42,0.0,120.94,0.0,0.0,0.0,5.35,6.32,-286.5280075244322,490.32,64.45,0.0,35.15,57.58707487284125,46.57,48.72,41.58,22.05,-13.93378693763748,1205.05,114.75,8.38,21.06,4.48,29.4,2689.02,7979.61,-0.4852285170554782,-1.622657962755647
4,(주)HJ매그놀리아용평호텔앤리조트,70960,2020/12,7.29108318497239,0.0,-27.33967934563981,-4.550718160250725,-1.555679053112826,-6.25,7.149237674742662,-5.46,-13.78,-1.8,-4.54,9.25,118.14,31.25,0.14,0.33,0.26,0.92,1.16,4.587960683837991,6.6,0.3,0.0,107.65,0.0,0.0,0.0,4.14,5.25,-364.8638460170626,1057.91,56.97,0.0,29.66,64.3695011559247,41.43,48.21,36.79,20.79,-22.04747421098025,4125.71,141.39,6.98,19.92,4.09,29.24,2647.18,7604.52,-0.7623891736141694,-1.925870617865982
5,(주)HJ매그놀리아용평호텔앤리조트,70960,2021/12,-7.720708824785953,0.0,149.3892619868691,2.24561025595213,85.47663992588159,-0.91,21.49166770388107,13.0,3.67,8.04,2.27,5.39,95.55,32.7,0.27,0.62,0.48,1.76,2.08,11.55548722676289,11.26,0.58,0.0,216.53,0.0,0.0,0.0,8.6,10.1,180.2035608047338,-239.81,60.49,0.0,30.62,31.83007924157592,45.9,50.09,49.44,17.67,-1.306137501372194,1671.47,117.86,4.32,9.48,2.34,8.33,4909.91,7791.38,3.651943897793358,1.030754866961362
6,(주)HJ매그놀리아용평호텔앤리조트,70960,2022/12,3.183159237942922,-94.95,-239.7481241781282,-2.212824569650323,-39.35814866421065,5.81,13.3191973814708,1.08,-8.46,0.41,-3.17,7.45,106.47,30.99,0.17,0.38,0.3,1.21,1.34,11.9271151223906,5.26,0.42,0.0,141.35,0.0,0.0,0.0,5.57,6.93,-251.8310959268081,525.13,56.94,0.0,33.72,51.47051916583715,43.5,57.43,47.86,15.12,-22.46092967001993,1381.75,129.88,1.4,3.3,0.79,4.79,2977.46,7642.54,0.1787804068177252,-1.396022957711079
7,(주)MH에탄올,23150,2012/12,0.1333478869867828,803.71,106.5950980788156,-7.005543678398681,33.45531496270897,1.96,17.96561966297281,9.12,0.48,13.24,1.01,7.51,98.31,85.99,0.45,1.45,0.64,1.25,1.83,3.944862054647479,6.33,0.47,0.0,220.69,661.98,14.56,2676.94,11.43,21.39,41.05271428571428,-700.89,787.71,728.46,25.71,37.65609959132774,29.53,61.27,36.07,0.73,-65.05375650261908,66557.71,238.69,-2.5,-3.09,-1.76,-3.95,8538.31,7783.36,4.056777183764182,0.2138387926410059
8,(주)MH에탄올,23150,2013/12,-3.488371945928549,-44.79,2345.717526942711,15.64399284756925,4.068573283356904,-1.92,12.67369665800197,4.84,11.3,7.04,16.85,5.07,98.82,82.42,0.47,1.45,0.7,1.33,2.07,3.763623388408394,5.98,0.5,0.0,-198.03,667.74,10.79,2402.37,10.06,18.55,1004.033428571429,873.44,939.04,648.66,20.98,40.0594938425712,35.38,57.37,40.78,0.14,-38.91907508703409,287248.6,182.66,0.72,0.81,0.47,0.97,8885.7,6130.55,2.320578177897912,5.418925093765563
9,(주)MH에탄올,23150,2014/12,-34.05073231080563,190.55,-102.8910961131915,15.04430493251651,-21.24779744374777,3.92,24.2402765927767,17.85,-0.41,17.72,-0.38,2.46,90.72,82.1,0.46,0.99,0.84,1.36,1.87,5.030988155957016,4.65,0.55,0.0,208.12,671.64,31.87,1608.56,13.21,31.73,-27.53842705169027,699.22,1048.39,668.75,23.06,38.67307297310697,61.72,90.87,68.77,0.02,-241.931616710067,0.0,62.03,17.21,19.17,6.59,11.51,6638.69,6296.3,10.22373000550103,-0.2375558338281317
10,(주)MH에탄올,23150,2015/12,-7.644589124672345,26.84,3928.179612486651,9.652951927326995,2.863033378333943,-11.32,27.70837485015491,22.01,15.44,20.04,14.06,1.17,80.41,84.97,0.61,0.91,1.87,1.97,2.48,9.516102670602073,4.7,0.97,0.07,350.06,778.27,45.25,1674.28,20.83,44.99,1054.220449992316,1813.92,1178.69,773.64,32.66,26.63980528537179,73.27,109.55,92.01,15.38,183.6212963713242,0.0,36.47,43.92,49.79,11.74,18.4,6828.76,6934.94,14.04122449056062,9.846812344495394
11,(주)MH에탄올,23150,2016/12,-8.426217300074693,7.05,4.706390988704513,9.842964972896738,-2.955527329574725,-8.51,30.54303201472891,24.28,16.66,19.55,13.41,0.6,78.78,86.9,0.65,0.81,3.27,2.32,2.96,10.69767876876009,4.65,1.39,0.07,392.63,860.18,47.99,1675.0,23.63,46.21,1103.836186251834,1659.66,1314.52,828.18,34.95,28.31500723467918,87.89,257.95,185.46,17.87,45.89207382451349,0.0,13.77,146.33,233.68,17.71,26.21,6626.94,7668.54,16.41488619944412,11.25894500518408
12,(주)MH에탄올,23150,2017/12,591.4326057293624,-31.65,-47.10576862159416,68.03111037148744,6.299170552809706,11.63,28.38085795114667,15.62,8.29,9.53,10.42,-1.46,88.65,90.08,0.18,0.61,0.26,0.99,1.11,9.325542361882228,4.99,0.34,0.0,310.05,0.0,0.0,0.0,2.84,3.65,583.8656663946159,452.24,1410.23,614.75,27.32,41.07688657225679,21.36,44.64,41.69,7.8,-5.335214014183507,2379.05,368.17,1.98,3.07,1.56,14.99,7044.38,7815.54,1.622757528175562,0.8613033826380685
13,(주)MH에탄올,23150,2018/12,-11.99619190756827,-84.87,-379.3230747518377,-14.27578637671861,40.05363551032404,4.17,26.47286975634865,1.69,-16.53,1.24,-0.93,14.97,112.24,99.39,0.15,0.73,0.2,1.27,1.42,11.98606622941383,6.8,0.33,0.0,320.95,0.0,0.0,0.0,3.83,4.32,-1630.871531793749,-1527.36,1355.58,814.98,23.15,54.67153527207308,20.81,20.96,16.33,4.89,-5.863472430345668,1679.28,380.62,-1.14,-1.81,-0.9,-5.45,9865.91,8335.92,0.2790246970425157,-2.733767030625959
14,(주)MH에탄올,23150,2019/12,2.56644817368378,537.44,37.24113361545854,-13.31695475329367,11.1043109688802,-6.0,32.96288068218953,9.68,-9.34,9.16,-0.88,12.76,105.78,101.53,0.18,0.95,0.22,2.59,3.39,10.99550313162987,8.08,0.33,0.0,108.44,0.0,0.0,0.0,5.0,5.62,-1023.516485541963,1540.81,1277.63,1121.61,27.91,44.0529536079962,17.58,11.62,8.73,3.21,-3.275407124069193,1797.11,468.69,0.01,0.02,0.01,0.06,10961.45,7140.62,1.734118726465875,-1.672750912764275
15,(주)MH에탄올,23150,2020/12,-0.3976050020159391,101.58,150.3548907229474,1.305491938141557,17.02028807306568,14.89,36.79137098486274,16.67,4.02,19.75,11.49,12.52,94.65,101.94,0.21,1.18,0.26,2.68,3.5,11.45078232800731,9.91,0.38,0.0,205.45,0.0,0.0,0.0,10.06,11.5,515.3906078260076,2573.11,1363.18,2584.8,47.78,22.02879931362815,17.89,25.82,20.1,8.54,-7.709118422783874,1936.0,459.13,4.11,6.34,3.38,16.04,12827.12,6887.42,3.509594656384567,0.8456743376568451
