,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,CP전년대비증가율,경기선행지수,경기동행지수,GDP대비국가부채비율,CPI,CPI증감률,실질GDP성장률,코스닥연수익률 (%),코스피연수익률(%),코스닥변동성,코스피변동성,장단기금리차(전월차)(%p),실업률,외환보유액(천달러),CD이자율,환율,수출물가지수증감률,수입물가지수증감률,3년국고채수익률,생산자물가지수,생산자물가지수증감률,부실
10,(주)기산텔레콤,35460,2018,-19.89931211961149,0.0,39.91937551502966,-9.577185523867357,-11.06370913593136,-4.49,16.19946853008296,-5.19,-5.9,-8.79,-10.68,0.62,105.89,-70.8,0.89,1.69,1.89,1.08,1.76,2.776689367394608,3.69,0.75,0.0,-43.48,0.0,0.0,0.0,12.28,412.38,-0.2282703840343986,-315.24,304.66,761.72,12.22,121.0060883219923,56.32,232.14,135.14,37.91,73.40525580999063,237.9,77.56,-8.12,-18.76,-3.55,-3.53,3872.15,2003.8,-5.210739436221731,-5.923008042062146,11.58536585,94.7,98.7,35.9,98.0,-12.57805531,3.240034708,-15.37661395,-17.2827429,-15.38,-17.28,-0.16,3.6,393332482,1.93,1115.7,0.747646299,5.893728704,1.817,100.43,1.876648407,1.0
11,(주)나노,187790,2017,9.747956409474282,0.0,100.3661138883127,30.83666488846453,51.71568773466315,-6.58,14.18490960344779,2.27,0.12,4.19,-0.15,2.32,99.76,44.93,0.84,1.85,1.53,1.9,3.64,3.956941305090818,6.79,0.95,0.0,59.36,0.0,0.0,0.0,13.49,29.51,0.0022737796644836,-40.2,808.08,66.68,16.91,49.34371646349852,49.03,113.23,57.73,12.68,419.3776084166242,154.76,103.94,-1.64,-2.48,-0.84,-1.05,1914.09,919.67,1.814493124271872,0.0975062262035029,1.234567901,93.2,97.3,36.0,112.1,18.87592789,2.830172037,26.44431455,21.76356986,26.44,21.76,0.02,3.5,379476576,1.66,1070.5,6.142843147,6.135629709,2.135,98.58,3.441762854,1.0
12,(주)나노브릭,286750,2019,35.73,0.0,0.0,828.34,8.2,0.0,24.4432832334972,-19.45,-10.04,-19.3,-9.96,5.3,108.44,-149.95,0.36,0.99,0.58,0.94,1.2,0.8788921859902781,4.0,0.43,0.0,55.88,0.0,0.0,0.0,13.22,26.87,-0.1711698178747278,-333.68,210.3,460.6,41.73,76.69724883737415,57.63,134.24,112.22,10.38,64.31818501257955,1274.46,73.51,-8.72,-13.61,-3.69,-11.66,1857.76,3434.81,-6.160944944929288,-3.179240263924939,0.546448087,98.0,101.2,37.6,102.0,4.081632653,2.677446185,-0.861393786,7.674023038,-0.86,7.67,0.12,3.5,397876077,1.53,1156.4,-3.353183692,0.831050228,1.36,100.46,0.0298715523,1.0
13,(주)나노엔텍,39860,2012,-10.49817498231901,0.0,51.78603447456366,-20.07602179638418,2.137437937508776,6.02,8.542255379312373,-39.66,-43.79,-23.19,-25.61,3.61,141.37,-27.5,0.3,0.58,0.63,0.51,0.63,3.163892998288888,2.69,0.42,0.0,-13.95,126.32,18.96,505.05,-1.17,-4.67,-0.302390902954971,-186.94,136.19,-31.13,-3.87,-697.0951161761026,51.71,441.63,362.2,38.69,23.24841938847919,395.49,93.4,-16.95,-21.9,-8.18,-27.07,690.53,933.52,-11.9921341406977,-13.23976272710667,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
14,(주)나노트로닉스,10670,2012,6.238593969994031,670.24,-87.15605769406015,13.78255897298611,13.53135033905287,-20.51,47.33397033441528,17.18,-16.38,15.41,-14.7,10.32,115.72,5.58,0.39,0.9,0.68,0.54,0.59,5.835476006911417,0.88,0.3,1.53,-45.61,2.48,0.85,1693.24,2.22,266.99,-0.2283566441718121,-192.9,315.9,320.94,5.89,155.7413025801544,44.7,128.9,116.35,11.65,43.44966252557345,1394.81,123.72,-9.74,-11.89,-5.38,-14.29,1489.91,1849.85,6.471342361514153,-6.171037334203712,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
15,(주)나이벡,138610,2012,0.0,0.0,0.0,0.0,0.0,6.9,100.0,-20.77,-36.3,-8.4,-14.69,6.46,129.91,-37.58,0.23,0.4,0.53,0.8,0.92,117.8562417733012,6.94,0.53,0.0,30.07,237.17,61.78,530.97,5.66,12.68,2.743654199132786,-29.19,426.47,48.68,24.05,57.037328486466,53.81,145.85,122.36,88.72,51.2289116146238,551.4,85.85,-6.08,-9.81,-2.81,-11.93,1151.95,1656.37,-4.891456131876333,-8.548376014207024,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
16,(주)내츄럴엔도텍,168330,2017,-0.2240843470935684,0.0,32.75615246754382,15.69346500277004,40.9209855979695,-7.25,36.03066542783441,-58.35,-95.91,-10.57,-18.67,24.53,153.37,13.39,0.11,0.18,0.27,0.2,0.24,1.161984130078519,6.4,0.18,0.51,-10.58,0.0,0.0,0.0,-0.21,-0.5,-0.4379816361393186,-385.86,428.97,-2.21,-1.91,-1969.475708387534,63.86,770.01,595.58,118.17,26.03464692341002,69.57,56.59,-41.66,-50.19,-15.05,-139.61,474.36,2302.9,-6.292061815892615,-10.34142433687407,1.234567901,93.2,97.3,36.0,112.1,18.87592789,2.830172037,26.44431455,21.76356986,26.44,21.76,0.02,3.5,379476576,1.66,1070.5,6.142843147,6.135629709,2.135,98.58,3.441762854,1.0
17,(주)네오리진,94860,2015,0.0,0.0,0.0,0.0,0.0,-52.76,16.98193854133356,-22.62,-27.21,-24.45,-29.42,0.69,120.47,-29.32,0.54,1.08,1.09,0.98,1.13,5.105077405806265,2.02,0.54,0.14,82.0,7.96,0.44,257.02,31.9,1029.71,0.0446571595343706,-23.77,147.55,18721.31,39.63,66.78989121609014,71.13,188.39,147.59,86.21,46.16124238322041,196.63,40.58,-29.4,-104.32,-8.49,-10.54,136.71,55.68,-18.20606685166216,-21.90338063443125,-28.46153846,85.5,91.0,35.7,103.3,1.573254671,3.440104128,25.6699288,2.386736911,25.67,2.39,0.02,3.5,358513845,1.67,1172.5,-5.217313218,-18.11283075,1.662,97.06,-4.015031646,1.0
18,(주)네오이뮨텍,950220,2021,95.54,0.0,0.0,92.39,0.0,80.0,0.0,0.0,0.0,-42.15,-42.62,0.0,10156.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-587.62,0.0,0.0,0.0,-23.29,-1666.28,-2.661861783909661,-2048.14,6930713.9,-2169.34,0.0,-19.47061837400673,86.64,816.82,816.82,755.72,0.0,0.0,15.42,-125.66,-541.82,-16.79,0.0,0.0,9719.17,-27.75312006980625,-28.06131129908429,-26.66666667,107.3,106.3,46.7,104.0,14.28571429,4.24876323,6.769789835,3.625579272,6.77,3.63,-0.02,3.4,438319248,1.29,1188.8,14.29,14.98767321,1.798,106.38,6.38,1.0
19,(주)네오퍼플,28090,2012,-6.537707752512673,0.0,-151.164265672501,-18.84645797496023,-23.24694671447325,-17.39,14.27281895222375,-18.38,-53.08,-34.58,-103.49,5.77,151.58,-140.35,0.62,1.88,0.92,0.94,1.1,6.522320145933087,14.7,0.47,0.0,-185.99,113.01,32.97,1075.46,-29.25,-258.29,-0.2155575146417279,-97.15,-55.39,-943.07,-47.31,0.0,32.85,98.41,84.59,30.92,-870.6534677545714,171.76,204.43,-21.33,-26.37,-14.32,-23.17,419.35,228.19,-11.36058742203958,-32.81460442563469,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
