,회사명,거래소코드,회계년도,자본집약도,기계장비율,노동장비율,운전자본회전률,재고자산 대 순운전자본비율
6831,하이트진로홀딩스(주),140,2015/12,2.111325176824503,5513.678882329243,6112.796101192048,-18.291251420639696,-13.299809591855968
6832,하이트진로홀딩스(주),140,2016/12,2.092979953081352,5287.011448706074,5440.59679992932,-19.90879793072821,-13.656318724480736
6833,하이트진로홀딩스(주),140,2017/12,2.157823757387126,5089.492885894055,4806.538550419442,-18.221264097767005,-13.357258447189722
6834,하이트진로홀딩스(주),140,2018/12,2.12574838527247,5142.074392430966,5154.77374168106,-16.98723243406689,-14.92419272860846
6835,하이트진로홀딩스(주),140,2019/12,1.8934381987019515,5351.634617848167,4629.631833956783,-23.738029912015254,-20.71557567719456
6836,하이트진로홀딩스(주),140,2020/12,1.737859462384962,5128.809724861251,4132.760312084765,-24.401481704855257,-20.567348102241485
6837,하이트진로홀딩스(주),140,2021/12,1.9326111718764396,4623.9936018592725,4197.750553878646,-21.158441834318698,-18.400950847081837
6838,하이트진로홀딩스(주),140,2022/12,1.5879875228280396,4890.577254903155,3603.427754664601,-28.14720615613444,-25.731854627128453
6839,한국가스공사(주),36460,2012/12,1.1595828968078554,4820.811865104477,69723.52035490234,218.60342698558046,118.19093558074604
6840,한국가스공사(주),36460,2013/12,1.1472218453349283,5143.003622887294,82421.49768967934,97.57062327898896,63.91209907836828
6841,한국가스공사(주),36460,2014/12,1.2544505717242789,5351.933398462617,92985.52359177428,94.89133323813574,91.09939512548628
6842,한국가스공사(주),36460,2015/12,1.626906267568331,6241.656679611516,90720.552286405,60.78737310936791,41.88091153539181
6843,한국가스공사(주),36460,2016/12,1.8915869219073929,6522.358946780878,79953.97116515257,70.6526080924518,35.8131961885498
6844,한국가스공사(주),36460,2017/12,1.6750373327561938,6656.872843565257,49808.31275585856,223.56525177120642,155.49935273951797
6845,한국가스공사(주),36460,2018/12,1.5157393357608655,6239.425164990353,47787.28141987399,4871.679957859331,5895.034491760789
6846,한국가스공사(주),36460,2019/12,1.5735668977009614,6201.037310013951,41683.00081562303,751.9862670571099,796.2308268803545
6847,한국가스공사(주),36460,2020/12,1.723637054102623,6442.29721846132,37704.71729461292,661.2602820381032,441.2743210093832
6848,한국가스공사(주),36460,2021/12,1.5867987653273965,5399.772638841133,39876.40800986224,-314.909932622146,-409.97178959426736
6849,한국가스공사(주),36460,2022/12,1.206879536882387,3731.4869792079444,40196.44755210967,-93.31445318163173,-137.51780158982504
6850,한국공항(주),5430,2012/12,0.8754068028763647,32.985374924901016,784.8874521795074,55.01885320131913,6.717803568551603
6851,한국공항(주),5430,2013/12,0.8817175161892243,39.29933068898496,880.3197607787941,67.89543344428658,9.829690646227585
6852,한국공항(주),5430,2014/12,0.8854535403383494,3874.193637607991,911.4139163082824,45.29990572511864,6.020265450394787
6853,한국공항(주),5430,2015/12,0.8368496304661652,4020.722561055436,740.3240320859911,35.8167060901029,4.245390567266061
6854,한국공항(주),5430,2016/12,0.790111054902701,4657.25703400441,796.6191309108659,39.57339096141702,4.0335117310275965
6855,한국공항(주),5430,2017/12,0.8577523883197669,4396.09382810226,795.6245609763316,35.20189878189469,2.9171648461700275
6856,한국공항(주),5430,2018/12,0.8066999193131685,4201.239702880248,724.7182845823511,34.2224913350174,3.131258450438748
6857,한국공항(주),5430,2019/12,0.8785006007317182,3653.5214872340484,702.0513419113513,34.34487942630794,3.8337858270329255
6858,한국공항(주),5430,2020/12,1.423060595291443,3464.6392108131067,745.1685977194061,25.745416110400818,3.185052314686683
6859,한국공항(주),5430,2021/12,1.1110049823897157,3648.0824361736068,827.7904602018597,25.13951487685579,2.7934907948180667
6860,한국공항(주),5430,2022/12,1.0513679851688806,4093.618504077237,868.2243341809732,28.44294297282036,3.40184547416634
6861,한국내화(주),10040,2012/12,0.7336464155654695,43.10963754823748,3451.8743853968786,1372.0426986457824,2016.224615217273
6862,한국내화(주),10040,2013/12,0.7392326870338132,44.54774057833684,3035.59051145172,1290.6816009494437,1327.7786744317978
6863,한국내화(주),10040,2014/12,0.7548630499758148,43.667366698310325,2491.3096117953924,-319.91317299631373,-390.6605554595937
6864,한국내화(주),10040,2015/12,0.7520532158100584,42.6118674582807,2344.626955534556,505.7938364572067,510.7777316139208
6865,한국내화(주),10040,2016/12,0.7955616403885476,39.3256164713105,2291.117280374902,4362.126765960536,4808.332278272672
6866,한국내화(주),10040,2017/12,0.7966095989101583,36.31867596396702,2195.277421367748,280.8174545848757,521.658993640055
6867,한국내화(주),10040,2018/12,0.853515852554107,37.26489289660892,2155.583315941852,65.33700244351986,113.23757780167618
6868,한국내화(주),10040,2019/12,0.9346987964368064,36.6874108241414,2181.3093095584604,136.83522147660852,253.59859225090108
6869,한국내화(주),10040,2020/12,0.9957497974763848,3390.3151038248857,1969.4887666950112,44.09386827937623,64.35166753139339
6870,한국내화(주),10040,2021/12,1.317252933105963,2460.022235976056,1842.411359448398,46.80320289461899,86.9967051690267
6871,한국내화(주),10040,2022/12,0.9086466135246056,2788.0879490611437,1779.2739283747617,59.858526293014684,85.0024833574011
6872,한국단자공업(주),25540,2012/12,1.0324709220633086,4566.30790468825,4969.7864829669925,33.21397093416114,39.49203412825303
6873,한국단자공업(주),25540,2013/12,1.0106843915174502,4570.660421700903,4158.621474461691,36.12465620571916,38.970940466550175
6874,한국단자공업(주),25540,2014/12,1.0697710398020357,4779.724045160794,4410.891837222493,37.40649745957442,43.26482812771316
6875,한국단자공업(주),25540,2015/12,1.0644256125354794,4596.677449948008,3235.365136245554,31.834558088558246,33.02838601469121
6876,한국단자공업(주),25540,2016/12,1.1505721112338287,3975.2889467556847,2927.1323813303284,27.350326240978212,27.02640025611167
6877,한국단자공업(주),25540,2017/12,1.1755984938343262,4227.345068122394,3086.487847918023,28.630166074497456,35.61833561102161
6878,한국단자공업(주),25540,2018/12,1.152940042736161,4264.287967278504,3068.440765932852,25.85397395867428,32.96832267678834
6879,한국단자공업(주),25540,2019/12,1.1469536661013826,4547.230353754596,2877.664022006968,27.877222488016805,38.13189996380705
6880,한국단자공업(주),25540,2020/12,1.227640660460948,4174.304229725937,2870.289266312911,24.907435981942008,31.63268828551845
6881,한국단자공업(주),25540,2021/12,1.169330778095225,4135.05813497136,2883.0610351633,26.987812532266553,47.7937239262358
6882,한국단자공업(주),25540,2022/12,1.1041330671498248,4143.0964484461765,3015.720333492556,36.61010084967491,77.40941626598908
6883,한국무브넥스(주),10100,2012/12,0.6439849141258404,3019.113048020775,2961.6298277893834,104.71607486866353,156.86052404789828
6884,한국무브넥스(주),10100,2013/12,0.6312708285413035,3222.209193557598,3454.5725479778603,151.1007636154062,189.2921948132546
6885,한국무브넥스(주),10100,2014/12,0.6748993146381319,3484.704572253809,3841.547138784176,457.05495635086015,609.0212073854702
6886,한국무브넥스(주),10100,2015/12,0.6331948105579999,3540.7905704205705,4213.499400675313,899.1244395163557,977.9435017877996
6887,한국무브넥스(주),10100,2016/12,0.6338769695718881,3649.906579920913,3311.863002971711,268.6430726489496,295.2711864312283
6888,한국무브넥스(주),10100,2017/12,0.6421547939913411,3784.3562885978336,3458.2731646921065,-376.3914104194653,-470.9465646614779
6889,한국무브넥스(주),10100,2018/12,0.8071486133369229,3676.5943620647467,3531.013113490839,-144.14733308222435,-224.57437381809095
6890,한국무브넥스(주),10100,2019/12,0.6836985883545796,3625.3078704026293,2990.869123252538,930.1366640216384,1107.900250161378
6891,한국무브넥스(주),10100,2020/12,0.7577388168430551,3475.5407014306056,3214.1819449457253,702.7962475261535,795.4730432945556
6892,한국무브넥스(주),10100,2021/12,0.6966157401009436,3488.8819045496625,3211.541711105855,-2069.9453280717757,-2343.255359100507
6893,한국무브넥스(주),10100,2022/12,0.5829233185627813,3344.3170391232393,3048.620203909022,1503.5839855131815,1251.1209993852356
6894,한국석유공업(주),4090,2012/12,0.5845428822109577,5361.339057044086,8594.43560275524,383.63219312199647,115.76198389624984
6895,한국석유공업(주),4090,2013/12,0.5767763381227052,4889.1332051390345,7196.551470376497,203.93722885125442,76.30634900358605
