,거래소코드,year,Date,Name,Close,Marcap,Stocks,회계년도,회사명,산업코드,당기순이익,평균당기순이익,PER,ROE,ROE자본half,평균자본,업종PER,업종ROE,Label,연평균복리수익률,시총2,수익률,PBR,업종PBR,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),유통주식수 (발행주식의 총수 - 자기주식수),이익소각,자기주식수,보통주식비율
18,69960,2017,2017-12-28,현대백화점,104500,2445555.085,23402441,2017-12-01,(주)현대백화점,74700,302250,301208,8.119157142,0.067472469,4464161.5,4181608.167,13.09754133,0.061000308,1,-0.090154025,2550866.069,-0.041284404,0.584836022,0.845495335,23402441,22557186,0,845255,36.08
19,139480,2017,2017-12-28,이마트,271000,7554346.949,27875819,2017-12-01,(주)이마트,74700,627939,488485.3333,15.46483883,0.057824069,8447785.5,7759697.333,13.09754133,0.061000308,0,-0.099965834,5101274.877,0.480874317,0.973536289,0.845495335,27875819,27864179,0,11640,28.05
20,50,2018,2018-12-28,경방,10800,296084.916,27415270,2018-12-01,(주)경방,74700,20189,24993,11.84671372,0.035503866,703951.5,688279.3333,11.24900949,0.056554837,1,-0.00932643,381072.253,-0.223021583,0.430181326,0.675390558,27415270,26971797,0,443473,58.61
21,4170,2018,2018-12-28,신세계,256000,2520366.336,9845181,2018-12-01,(주)신세계,74700,284880,273951.6667,9.200040163,0.055222755,4960847.5,4714666.167,11.24900949,0.056554837,1,0.019475134,2953554.3,-0.146666667,0.53458002,0.675390558,9845181,9836407,0,8774,28.05
22,7070,2018,2018-12-28,GS리테일,40500,3118500,77000000,2018-12-01,(주)지에스리테일,74700,132336,173659,17.95760657,0.07158697,2425846.5,2353185.667,11.24900949,0.056554837,0,0.049432521,3103100,0.004962779,1.325224798,0.675390558,77000000,77000000,0,0,65.77
23,69960,2018,2018-12-28,현대백화점,90400,2115580.666,23402441,2018-12-01,(주)현대백화점,74700,287419,303593.6667,6.968461133,0.06427425,4723410.5,4452769.667,11.24900949,0.056554837,1,-0.090154025,2445555.085,-0.13492823,0.475115675,0.675390558,23402441,22557186,0,845255,36.08
24,139480,2018,2018-12-28,이마트,182500,5087336.968,27875819,2018-12-01,(주)이마트,74700,476179,495251.6667,10.27222584,0.056186344,8814449,8314666.833,11.24900949,0.056554837,1,-0.099965834,7554346.949,-0.326568266,0.61185097,0.675390558,27875819,27864179,0,11640,28.05
25,50,2019,2019-12-30,경방,9280,254413.7056,27415270,2019-12-01,(주)경방,74700,43622,29708.66667,8.56361911,0.040968373,725161,706200.3333,10.92076217,0.053015025,1,-0.00932643,296084.916,-0.140740741,0.36025713,0.595986408,27415270,26415270,0,1000000,58.6
26,4170,2019,2019-12-30,신세계,289000,2845257.309,9845181,2019-12-01,(주)신세계,74700,593123,363871,7.819412124,0.069194768,5258649,5008576.833,10.92076217,0.053015025,1,0.019475134,2520366.336,0.12890625,0.568077001,0.595986408,9845181,9836407,0,8774,28.05
27,7070,2019,2019-12-30,GS리테일,39250,3022250,77000000,2019-12-01,(주)지에스리테일,74700,143624,130354,23.18494254,0.051877595,2512722.5,2438001.167,10.92076217,0.053015025,0,0.049432521,3118500,-0.030864198,1.239642557,0.595986408,77000000,77000000,0,0,65.78
28,69960,2019,2019-12-30,현대백화점,83100,1944742.847,23402441,2019-12-01,(주)현대백화점,74700,243011,277560,7.006567398,0.056596514,4904189,4697253.667,10.92076217,0.053015025,1,-0.090154025,2115580.666,-0.080752212,0.414016995,0.595986408,23402441,22323186,0,1079255,36.08
29,139480,2019,2019-12-30,이마트,127500,3554166.923,27875819,2019-12-01,(주)이마트,74700,223836,442651.3333,8.029269664,0.046437876,9532118.5,8931451,10.92076217,0.053015025,1,-0.099965834,5087336.968,-0.301369863,0.397938355,0.595986408,27875819,26964179,0,911640,28.55
30,50,2020,2020-12-30,경방,12400,339949.348,27415270,2020-12-01,(주)경방,74700,13026,25612.33333,13.27287692,0.034529999,741741.5,723618,12.06314844,0.04337933,1,-0.00932643,254413.7056,0.336206897,0.469791172,0.552653432,27415270,26015270,0,1400000,59.38
31,4170,2020,2020-12-30,신세계,239500,2357920.85,9845181,2020-12-01,(주)신세계,74700,-69138,269621.6667,8.745294392,0.05100489,5286192.5,5168563,12.06314844,0.04337933,1,0.019475134,2845257.309,-0.171280277,0.456204336,0.552653432,9845181,9836407,0,8774,28.57
32,7070,2020,2020-12-30,GS리테일,34450,2652650,77000000,2020-12-01,(주)지에스리테일,74700,154522,143494,18.48613879,0.054828606,2617137.5,2518568.833,12.06314844,0.04337933,0,0.049432521,3022250,-0.122292994,1.053237047,0.552653432,77000000,77000000,0,0,65.78
33,69960,2020,2020-12-30,현대백화점,71400,1670934.287,23402441,2020-12-01,(주)현대백화점,74700,105057,211829,7.8881281,0.042316806,5005789,4877796.167,12.06314844,0.04337933,1,-0.090154025,1944742.847,-0.140794224,0.342559269,0.552653432,23402441,22089186,0,1313255,36.08
34,139480,2020,2020-12-30,이마트,151500,4223186.579,27875819,2020-12-01,(주)이마트,74700,362573,354196,11.92330399,0.034216348,10351660,9566075.833,12.06314844,0.04337933,1,-0.099965834,3554166.923,0.188235294,0.44147534,0.552653432,27875819,26964179,0,911640,28.56
35,50,2021,2021-12-30,경방,13750,376959.9625,27415270,2021-12-01,(주)경방,74700,22282,26310,14.32763065,0.035219092,747038,737980.1667,9.220984608,0.059219389,1,-0.00932643,339949.348,0.108870968,0.510799584,0.567215923,27415270,25044840,0,2370430,59.74
36,4170,2021,2021-12-30,신세계,254000,2500675.974,9845181,2021-12-01,(주)신세계,74700,388867,304284,8.218230252,0.05624626,5409853,5318231.5,9.220984608,0.059219389,1,0.019475134,2357920.85,0.060542797,0.470208184,0.567215923,9845181,9836407,0,8774,28.57
37,7070,2021,2021-12-30,GS리테일,30400,3183424.829,104717922,2021-12-01,(주)지에스리테일,74700,801276,366474,8.686632145,0.10350085,3540782.5,2890214.167,9.220984608,0.059219389,0,0.049432521,2652650,0.200092296,1.101449458,0.567215923,104717922,102180025,0,2537897,57.9
38,69960,2021,2021-12-30,현대백화점,75100,1757523.319,23402441,2021-12-01,(주)현대백화점,74700,233389,193819,9.067858771,0.037789142,5128960,5012979.333,9.220984608,0.059219389,1,-0.090154025,1670934.287,0.051820728,0.350594567,0.567215923,23402441,21855186,0,1547255,36.08
