회사명,거래소코드,회계년도,[U01B800000000]계속영업이익(손실)(IFRS연결)(천원),[U01B350016400]   이자비용(IFRS연결)(천원),[U01B470010000]   이자비용(IFRS연결)(천원),[U01B550010000]   이자비용(IFRS연결)(천원),[U01B800000000]계속영업이익(손실)(IFRS)(천원),[U01B350016400]   이자비용(IFRS)(천원),[U01B470010000]   이자비용(IFRS)(천원),[U01B550010000]   이자비용(IFRS)(천원)
(주)와이어블,065530,2022/12,,,,,2435230,0,0,569782
(주)와이어블,065530,2023/12,2340418,0,0,718680,2687746,0,0,717921
(주)와이엔텍,067900,2022/12,24633946,0,0,1986036,20195267,0,0,1605390
(주)와이엠,007530,2022/12,2486873,0,0,2639284,2009553,0,0,2501021
(주)와이엠,007530,2023/12,946983,0,0,3411316,1344282,0,0,3251653
(주)와이엠텍,273640,2022/12,,,,,12728292,0,0,0
(주)와이엠텍,273640,2023/12,,,,,6678073,0,0,0
(주)와이오엠,066430,2022/12,,,,,500835,0,0,437141
(주)와이제이엠게임즈,193250,2022/12,6238857,0,0,842653,13692589,0,0,840345
(주)와이즈버즈,273060,2022/12,,,,,2238845,0,0,37083
(주)와이즈버즈,273060,2023/12,842933,0,0,47016,978622,0,0,47016
(주)와이지-원,019210,2022/12,33428996,0,0,15434248,37151684,0,0,10504512
(주)와이지-원,019210,2023/12,24353078,0,0,28696461,9043967,0,0,19489338
(주)와이지엔터테인먼트,122870,2022/12,41478508,16914,0,433068,29058006,0,0,54245
(주)와이지플러스,037270,2022/12,11396238,82514,0,217586,9154774,0,0,217586
(주)와이투솔루션,011690,2022/12,-2214111,0,0,1787609,-1550101,0,0,1733133
(주)와이투솔루션,011690,2023/12,-345354,0,0,658084,-1584663,0,0,496148
(주)와이티엔,040300,2022/12,,,,,5514293,0,0,220681
(주)와이팜,332570,2022/12,-10389636,0,0,2046179,-10107363,0,0,1952096
(주)와이팜,332570,2023/12,19457637,0,0,3772541,19292838,0,0,3544458
(주)우리금융지주,316140,2022/12,,,,,,,,
(주)우리금융지주,316140,2023/12,,,,,,,,
(주)우리기술,032820,2022/12,3368734,0,0,3027633,3060078,0,0,2870674
(주)우리기술,032820,2023/12,5032187,0,0,1973307,4861381,0,0,1779432
(주)우리넷,115440,2022/12,-9750879,0,0,1333114,-7709430,0,0,1309585
(주)우리로,046970,2022/12,-868014,0,0,513179,-1708258,0,0,385601
(주)우리로,046970,2023/12,-4785013,0,0,537682,-4834922,0,0,420907
(주)우성,006980,2022/12,126061,0,0,3598924,397135,0,0,133743
(주)우성,006980,2023/12,11055745,0,0,7216591,328612,0,0,349353
(주)우신시스템,017370,2022/12,2816573,0,0,5636911,7532046,0,0,1613371
(주)우양,103840,2022/12,,,,,-2998798,0,0,2996456
(주)우양,103840,2023/12,,,,,-3919887,0,0,4657676
(주)우정바이오,215380,2022/12,,,,,-1880194,0,0,2797110
(주)우주일렉트로닉스,065680,2022/12,12219357,0,0,1102091,18093033,0,0,1093492
(주)우진,105840,2022/12,11784761,0,0,1014243,6857169,0,0,813605
(주)우진,105840,2023/12,13944552,0,0,383437,10510337,0,0,134406
(주)우진아이엔에스,010400,2022/12,-3325235,0,0,93185,-3326352,0,0,92776
(주)우진플라임,049800,2022/12,21850157,0,0,3536647,20922790,0,0,3536139
(주)웅진,016880,2022/12,8371164,0,0,21109164,23633344,0,0,6697771
(주)웅진씽크빅,095720,2022/12,3387704,0,0,6232422,6907900,0,0,2624956
(주)원림,005820,2022/12,9219220,0,0,263701,1972989,0,0,147403
(주)원림,005820,2023/12,10089058,0,0,226387,2896070,0,0,128947
(주)원바이오젠,307280,2022/12,3272496,0,0,1273644,3449913,0,0,1222109
(주)원익,032940,2022/12,38309367,0,0,1561160,6870749,0,0,1030352
(주)원익머트리얼즈,104830,2022/12,57731833,0,0,1124562,58960367,0,0,513096
(주)원익머트리얼즈,104830,2023/12,13844926,0,0,1595295,16991244,0,0,447142
(주)원익아이피에스,240810,2022/12,89438213,0,0,819560,90590842,0,0,819560
(주)원익큐브,014190,2022/12,4296750,0,0,501305,4353755,0,0,500391
(주)원익큐브,014190,2023/12,4952401,0,0,766099,5048930,0,0,757266
(주)원익큐엔씨,074600,2022/12,58239209,0,0,26551817,46754351,0,0,1195859
(주)원익큐엔씨,074600,2023/12,50998912,0,0,33011263,19815501,0,0,4817111
(주)원익피앤이,217820,2022/12,30378,0,0,2228750,4454266,0,0,1485576
(주)원익피앤이,217820,2023/12,-3647632,0,0,5795228,1782550,0,0,5384826
(주)원익홀딩스,030530,2022/12,102568539,0,0,7657183,13508274,0,0,3594919
(주)원일특강,012620,2022/12,10604959,0,0,3341565,10834600,0,0,3056419
(주)원일특강,012620,2023/12,7997353,0,0,4792791,7644830,0,0,4348790
(주)원준,382840,2022/12,15180537,0,0,125954,12977817,0,0,135228
(주)원티드랩,376980,2022/12,9404087,0,0,297292,9437956,0,0,297292
(주)원풍,008370,2022/12,8461427,0,0,1202,8421922,0,0,1202
(주)원풍,008370,2023/12,5714931,0,0,834,6778258,0,0,834
(주)월덱스,101160,2022/12,41497461,0,0,1444400,41527161,0,0,753136
(주)월덱스,101160,2023/12,53849755,0,0,2110576,53901080,0,0,1343561
(주)웨스트라이즈,064090,2022/12,-14994780,0,0,512978,-12338200,0,0,515090
(주)웨스트라이즈,064090,2023/12,-6989588,0,0,2226154,-6064039,0,0,2217013
(주)웨이버스,336060,2022/12,-8094592,0,0,46726,-8427415,0,0,45136
(주)웨이브일렉트로닉스,095270,2022/12,-8857173,0,0,526750,-8584560,0,0,147550
(주)웰크론,065950,2022/12,-827512,0,0,3129982,2764821,0,0,1779233
(주)웰크론,065950,2023/12,-8643581,0,0,3664202,-1251075,0,0,2173168
(주)웰크론한텍,076080,2022/12,-2197646,0,0,794384,-982561,0,0,794384
(주)웰크론한텍,076080,2023/12,-4607406,0,0,333203,-7187811,0,0,333203
(주)웹스,196700,2022/12,-8497972,0,0,932651,-4573004,0,0,849407
(주)웹젠,069080,2022/12,72393876,0,0,122945,81011704,0,0,120940
(주)웹젠,069080,2023/12,57568756,0,0,102694,57737966,0,0,150486
(주)위니아,071460,2022/12,-72243193,0,0,14382511,-73562494,0,0,10383364
(주)위니아에이드,377460,2022/12,15728304,0,0,2184538,15835358,0,0,2184538
(주)위니아에이드,377460,2023/12,-123596365,0,0,5366434,-131776116,0,0,4547994
(주)위닉스,044340,2022/12,2179573,0,0,5779056,2829974,0,0,3881879
(주)위드텍,348350,2022/12,12245350,0,0,263208,11879700,0,0,260999
(주)위드텍,348350,2023/12,6331922,0,0,396294,6172073,0,0,393242
(주)위메이드,112040,2022/12,-185755766,0,0,7151153,-150888637,0,0,2281807
(주)위메이드맥스,101730,2022/12,22559471,0,0,1658856,-105674054,0,0,58696
(주)위메이드플레이,123420,2022/12,-532579,0,0,5126390,1222632,0,0,841958
(주)위메이드플레이,123420,2023/12,4328400,0,0,3718038,18035134,0,0,1011511
(주)위세아이텍,065370,2022/12,,,,,3870235,0,0,1018389
(주)위세아이텍,065370,2023/12,-3293744,0,0,537250,-3053950,0,0,537019
(주)위스컴,024070,2022/12,-7425222,0,0,42199,-9050973,0,0,38337
(주)위스컴,024070,2023/12,-475565,0,0,28035,49459,0,0,24288
(주)위지윅스튜디오,299900,2022/12,-27191530,0,0,2079937,12450113,0,0,449725
(주)위지트,036090,2022/12,13679864,0,0,462787,-1260491,0,0,462787
(주)윈스,136540,2022/12,19238534,0,0,199735,19146836,0,0,76523
(주)윈스,136540,2023/12,21083973,0,0,196847,20944743,0,0,73155
(주)윈팩,097800,2022/12,,,,,-1571477,0,0,2841153
(주)윈팩,097800,2023/12,,,,,-33297722,0,0,4857738
