회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원)
(주)TCC스틸,002710,2020/12,306758932,121130879,185628052,431797912,261204640,98249953,162954687,323435107
(주)TCC스틸,002710,2021/12,366996615,155229149,211767466,536651129,308992347,127592438,181399909,407836319
(주)TCC스틸,002710,2022/12,507482317,208804980,298677336,684414631,433842077,173624596,260217481,527359655
(주)TCC스틸,002710,2023/12,559737446,235047322,324690124,624418627,491838565,198109934,293728631,471543090
(주)가비아,079940,2018/12,151440505,114187490,37253015,128728438,69315988,49832912,19483076,55197652
(주)가비아,079940,2019/12,199916131,134959139,64956993,148306878,82964911,54084066,28880845,58254105
(주)가비아,079940,2020/12,260025259,173203629,86821629,169044955,98083331,58359903,39723428,64097025
(주)가비아,079940,2021/12,302957884,204589577,98368307,200442778,107496533,63744010,43752523,71873259
(주)가비아,079940,2022/12,368323133,242627407,125695726,239153945,138892912,69433185,69459727,77418922
(주)가비아,079940,2023/12,462666237,291751442,170914795,261590697,162249996,76128777,86121218,86333065
(주)가온칩스,399720,2018/12,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,
(주)가온칩스,399720,2020/12,,,,,25531855,10874663,14657192,17098306
(주)가온칩스,399720,2021/12,,,,,36993115,21861996,15131119,32235607
(주)가온칩스,399720,2022/12,73181102,54389374,18791728,43320505,73187158,54447046,18740111,43320505
(주)가온칩스,399720,2023/12,94609679,62019550,32590129,63597350,94766060,62289165,32476895,63597350
(주)강스템바이오텍,217730,2018/12,73194018,47581374,25612644,9165454,66184838,47944961,18239878,1001039
(주)강스템바이오텍,217730,2019/12,113643697,68719236,44924460,6004584,98625925,70845209,27780716,282069
(주)강스템바이오텍,217730,2020/12,82505287,48638871,33866416,9137898,68097299,51430858,16666440,295379
(주)강스템바이오텍,217730,2021/12,103147836,66003004,37144831,12404665,90179843,70138473,20041371,3756744
(주)강스템바이오텍,217730,2022/12,80591705,47260294,33331411,16300573,68851023,51432573,17418450,5914650
(주)강스템바이오텍,217730,2023/12,81253041,44517550,36735492,12704101,71391796,53211427,18180369,5912667
(주)강원랜드,035250,2018/12,4231241354,3586777089,644464265,1438059299,4229630541,3586452533,643178007,1436042435
(주)강원랜드,035250,2019/12,4438119306,3717759076,720360229,1520080449,4436461953,3718433001,718028952,1517612252
(주)강원랜드,035250,2020/12,3641632201,3247028580,394603621,478578866,3635973900,3244743975,391229925,477474858
(주)강원랜드,035250,2021/12,3827273464,3252792611,574480852,788432830,3817618525,3249287081,568331445,787377362
(주)강원랜드,035250,2022/12,4167752671,3415377901,752374770,1270685819,4157624144,3411779342,745844802,1269418094
(주)강원랜드,035250,2023/12,4448655838,3677900816,770755022,1388572378,4431068821,3669721285,761347536,1387518282
(주)강원에너지,114190,2018/12,93845576,50203707,43641869,85905365,89619750,49286354,40333396,85905365
(주)강원에너지,114190,2019/12,56602063,21124556,35477506,42549622,55106032,22904034,32201998,42549622
(주)강원에너지,114190,2020/12,32968636,17096338,15872298,38345166,32998279,17211371,15786908,38345166
(주)강원에너지,114190,2021/12,,,,,41538176,28593603,12944572,44163151
(주)강원에너지,114190,2022/12,84439240,32317889,52121351,71379940,53998952,30451208,23547744,68798891
(주)강원에너지,114190,2023/12,171528876,42520244,129008632,139211242,83833462,38681555,45151906,100978308
(주)갤럭시아에스엠,011420,2018/12,33253331,26472162,6781168,22060413,33337692,26797332,6540360,22030258
(주)갤럭시아에스엠,011420,2019/12,28241598,21798750,6442848,28732679,28241598,21798750,6442848,28732679
(주)갤럭시아에스엠,011420,2020/12,,,,,28554685,20719428,7835257,19539594
(주)갤럭시아에스엠,011420,2021/12,,,,,40900713,33050242,7850471,28899467
(주)갤럭시아에스엠,011420,2022/12,,,,,57863012,33333532,24529480,30093883
(주)갤럭시아에스엠,011420,2023/12,,,,,90043246,74747203,15296043,32950222
(주)경농,002100,2018/12,357260541,201453891,155806650,212654617,285031873,187066687,97965187,146216658
(주)경농,002100,2019/12,370874091,201885272,168988819,227510941,297197088,190892614,106304474,151342037
(주)경농,002100,2020/12,371525656,211372233,160153423,248295524,299102193,197265917,101836275,165655312
(주)경농,002100,2021/12,388785779,236809394,151976386,270269450,312930580,214148421,98782159,174767545
(주)경농,002100,2022/12,448632689,260484164,188148525,361604573,342108581,225910045,116198537,202589425
(주)경농,002100,2023/12,448592734,268461032,180131702,347407789,350637720,239784379,110853341,223405302
