Date,Open,High,Low,Close,Adj Close,Volume,Log_Return
2023-04-04,2475.8701171875,2489.7099609375,2472.7900390625,2480.510009765625,2480.510009765625,830500,0.0032990819927882086
2023-04-05,2482.610107421875,2497.610107421875,2478.669921875,2495.2099609375,2495.2099609375,630400,0.005908690210148726
2023-04-06,2488.0,2488.0,2458.5,2459.22998046875,2459.22998046875,749100,-0.01452459346830222
2023-04-07,2478.639892578125,2493.06005859375,2473.889892578125,2490.409912109375,2490.409912109375,584000,0.012599035389877666
2023-04-10,2491.679931640625,2519.989990234375,2490.169921875,2512.080078125,2512.080078125,716200,0.008663806067546584
2023-04-11,2523.330078125,2550.969970703125,2514.419921875,2547.860107421875,2547.860107421875,766800,0.014142706974717768
2023-04-12,2546.360107421875,2561.3701171875,2536.22998046875,2550.639892578125,2550.639892578125,899800,0.0010904326494813002
2023-04-13,2534.7099609375,2561.659912109375,2531.070068359375,2561.659912109375,2561.659912109375,840300,0.0043111855801605484
2023-04-14,2580.10009765625,2581.739990234375,2560.530029296875,2571.489990234375,2571.489990234375,890500,0.003830042110066768
2023-04-17,2570.300048828125,2577.080078125,2561.139892578125,2575.909912109375,2575.909912109375,774600,0.0017173419765890497
2023-04-18,2582.22998046875,2582.22998046875,2557.18994140625,2571.090087890625,2571.090087890625,895200,-0.0018728679337859852
2023-04-19,2570.06005859375,2582.110107421875,2568.4599609375,2575.080078125,2575.080078125,956000,0.0015506642435721646
2023-04-20,2566.06005859375,2573.93994140625,2552.06005859375,2563.110107421875,2563.110107421875,950400,-0.00465922510647508
2023-04-21,2556.699951171875,2559.43994140625,2532.320068359375,2544.39990234375,2544.39990234375,969000,-0.00732657938499778
2023-04-24,2538.360107421875,2541.889892578125,2518.72998046875,2523.5,2523.5,925900,-0.008248000643475317
2023-04-25,2531.35009765625,2531.35009765625,2472.330078125,2489.02001953125,2489.02001953125,885200,-0.01375776024248009
2023-04-26,2489.489990234375,2498.56005859375,2481.3798828125,2484.830078125,2484.830078125,1088100,-0.0016847883692048848
2023-04-27,2484.31005859375,2499.010009765625,2465.830078125,2495.81005859375,2495.81005859375,732600,0.004409071105250389
2023-04-28,2511.7900390625,2517.1298828125,2489.580078125,2501.530029296875,2501.530029296875,776400,0.002289207098363887
2023-05-02,2504.010009765625,2524.419921875,2503.2099609375,2524.389892578125,2524.389892578125,700300,0.009096850439046275
2023-05-03,2510.18994140625,2514.3701171875,2497.830078125,2501.39990234375,2501.39990234375,887300,-0.009148870737124682
2023-05-04,2494.820068359375,2502.139892578125,2486.090087890625,2500.93994140625,2500.93994140625,809100,-0.00018389831685303236
2023-05-08,2518.530029296875,2525.840087890625,2511.1298828125,2513.2099609375,2513.2099609375,653900,0.00489416721161702
2023-05-09,2512.340087890625,2514.81005859375,2495.6298828125,2510.06005859375,2510.06005859375,750500,-0.0012541244027723401
2023-05-10,2505.9599609375,2510.1298828125,2488.419921875,2496.510009765625,2496.510009765625,634400,-0.0054129201139564475
2023-05-11,2505.570068359375,2513.820068359375,2490.080078125,2491.0,2491.0,646300,-0.002209524190022813
2023-05-12,2487.35009765625,2487.35009765625,2472.449951171875,2475.419921875,2475.419921875,797200,-0.006274189246896201
2023-05-15,2469.800048828125,2479.35009765625,2455.989990234375,2479.35009765625,2479.35009765625,483300,0.0015864214040306882
2023-05-16,2494.39990234375,2498.5400390625,2474.89990234375,2480.239990234375,2480.239990234375,627900,0.00035885731357021485
2023-05-17,2479.64990234375,2498.3701171875,2475.02001953125,2494.659912109375,2494.659912109375,563300,0.005797086390191873
2023-05-18,2511.090087890625,2515.39990234375,2500.010009765625,2515.39990234375,2515.39990234375,571500,0.008279385666629427
2023-05-19,2530.830078125,2538.31005859375,2524.889892578125,2537.7900390625,2537.7900390625,569300,0.008861841136836957
2023-05-22,2540.030029296875,2564.090087890625,2533.5,2557.080078125,2557.080078125,590500,0.007572374091711843
2023-05-23,2565.800048828125,2577.320068359375,2561.10009765625,2567.550048828125,2567.550048828125,573800,0.004086142808927485
2023-05-24,2557.110107421875,2572.2099609375,2555.0400390625,2567.449951171875,2567.449951171875,1071600,-3.898642892415358e-05
2023-05-25,2570.639892578125,2575.050048828125,2551.489990234375,2554.68994140625,2554.68994140625,916700,-0.004982306781449499
2023-05-26,2561.93994140625,2567.5,2553.7900390625,2558.81005859375,2558.81005859375,631800,0.0016114669322782255
2023-05-30,2582.409912109375,2586.219970703125,2574.820068359375,2585.52001953125,2585.52001953125,638500,0.010384326259049304
2023-05-31,2586.030029296875,2596.31005859375,2575.97998046875,2577.1201171875,2577.1201171875,683900,-0.0032541139934970605
2023-06-01,2572.56005859375,2580.14990234375,2565.0,2569.169921875,2569.169921875,674200,-0.0030896826943783507
2023-06-02,2586.27001953125,2601.3798828125,2583.8798828125,2601.360107421875,2601.360107421875,566500,0.012451567349847913
2023-06-05,2617.429931640625,2618.6201171875,2608.010009765625,2615.409912109375,2615.409912109375,542700,0.005386412896990652
2023-06-07,2623.4599609375,2629.919921875,2613.679931640625,2615.60009765625,2615.60009765625,535300,7.271465610043874e-05
2023-06-08,2609.2099609375,2612.389892578125,2595.330078125,2610.85009765625,2610.85009765625,578700,-0.0018176778234965997
2023-06-09,2624.14990234375,2644.699951171875,2618.449951171875,2641.159912109375,2641.159912109375,581500,0.011542305097521695
2023-06-12,2647.489990234375,2650.449951171875,2623.429931640625,2629.35009765625,2629.35009765625,554300,-0.004481476819726791
2023-06-13,2644.429931640625,2645.6201171875,2633.52001953125,2637.949951171875,2637.949951171875,692500,0.0032653773574188583
2023-06-14,2640.81005859375,2642.860107421875,2614.25,2619.080078125,2619.080078125,648800,-0.007178940954621282
