Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return
2023-04-04,2475.8701171875,2489.7099609375,2472.7900390625,2480.510009765625,2480.510009765625,830500,0.33045299532277195
2023-04-05,2482.610107421875,2497.610107421875,2478.669921875,2495.2099609375,2495.2099609375,630400,0.5926180952305016
2023-04-06,2488.0,2488.0,2458.5,2459.22998046875,2459.22998046875,749100,-1.4419620405503486
2023-04-07,2478.639892578125,2493.06005859375,2473.889892578125,2490.409912109375,2490.409912109375,584000,1.267873760821736
2023-04-10,2491.679931640625,2519.989990234375,2490.169921875,2512.080078125,2512.080078125,716200,0.8701445456932966
2023-04-11,2523.330078125,2550.969970703125,2514.419921875,2547.860107421875,2547.860107421875,766800,1.4243188188324485
2023-04-12,2546.360107421875,2561.3701171875,2536.22998046875,2550.639892578125,2550.639892578125,899800,0.1091027387317034
2023-04-13,2534.7099609375,2561.659912109375,2531.070068359375,2561.659912109375,2561.659912109375,840300,0.4320492109966656
2023-04-14,2580.10009765625,2581.739990234375,2560.530029296875,2571.489990234375,2571.489990234375,890500,0.38373860942788607
2023-04-17,2570.300048828125,2577.080078125,2561.139892578125,2575.909912109375,2575.909912109375,774600,0.1718817452832866
2023-04-18,2582.22998046875,2582.22998046875,2557.18994140625,2571.090087890625,2571.090087890625,895200,-0.18711152110141294
2023-04-19,2570.06005859375,2582.110107421875,2568.4599609375,2575.080078125,2575.080078125,956000,0.15518671450553967
2023-04-20,2566.06005859375,2573.93994140625,2552.06005859375,2563.110107421875,2563.110107421875,950400,-0.46483877549318153
2023-04-21,2556.699951171875,2559.43994140625,2532.320068359375,2544.39990234375,2544.39990234375,969000,-0.729980542932851
2023-04-24,2538.360107421875,2541.889892578125,2518.72998046875,2523.5,2523.5,925900,-0.8214079211565029
2023-04-25,2531.35009765625,2531.35009765625,2472.330078125,2489.02001953125,2489.02001953125,885200,-1.3663554772637254
2023-04-26,2489.489990234375,2498.56005859375,2481.3798828125,2484.830078125,2484.830078125,1088100,-0.1683369909993404
2023-04-27,2484.31005859375,2499.010009765625,2465.830078125,2495.81005859375,2495.81005859375,732600,0.44188053603388955
2023-04-28,2511.7900390625,2517.1298828125,2489.580078125,2501.530029296875,2501.530029296875,776400,0.2291829333498141
2023-05-02,2504.010009765625,2524.419921875,2503.2099609375,2524.389892578125,2524.389892578125,700300,0.9138352533659244
2023-05-03,2510.18994140625,2514.3701171875,2497.830078125,2501.39990234375,2501.39990234375,887300,-0.9107147157405127
2023-05-04,2494.820068359375,2502.139892578125,2486.090087890625,2500.93994140625,2500.93994140625,809100,-0.018388140859404434
2023-05-08,2518.530029296875,2525.840087890625,2511.1298828125,2513.2099609375,2513.2099609375,653900,0.49061632101212727
2023-05-09,2512.340087890625,2514.81005859375,2495.6298828125,2510.06005859375,2510.06005859375,750500,-0.12533383174141433
2023-05-10,2505.9599609375,2510.1298828125,2488.419921875,2496.510009765625,2496.510009765625,634400,-0.5398296658971735
2023-05-11,2505.570068359375,2513.820068359375,2490.080078125,2491.0,2491.0,646300,-0.22070849882721566
2023-05-12,2487.35009765625,2487.35009765625,2472.449951171875,2475.419921875,2475.419921875,797200,-0.6254547621437179
2023-05-15,2469.800048828125,2479.35009765625,2455.989990234375,2479.35009765625,2479.35009765625,483300,0.1587680436163419
2023-05-16,2494.39990234375,2498.5400390625,2474.89990234375,2480.239990234375,2480.239990234375,627900,0.0358921710558846
2023-05-17,2479.64990234375,2498.3701171875,2475.02001953125,2494.659912109375,2494.659912109375,563300,0.5813922012295913
