iter	Logloss
0	0.6917983551
1	0.6911946211
2	0.6897621854
3	0.6886596967
4	0.6872820722
5	0.6862969921
6	0.6848444011
7	0.6838902331
8	0.6826859941
9	0.6814735208
10	0.6800043333
11	0.6789298565
12	0.678065626
13	0.6765134055
14	0.6751913252
15	0.6743102412
16	0.6728922997
17	0.6716259659
18	0.6700276357
19	0.6686794942
20	0.6674494773
21	0.6665360707
22	0.6651485084
23	0.6643511307
24	0.6628311836
25	0.6614987225
26	0.6602207098
27	0.6587599347
28	0.6576109036
29	0.656209318
30	0.6546525786
31	0.653308719
32	0.6525712514
33	0.6509121347
34	0.6497780379
35	0.6482319942
36	0.6470781741
37	0.6456372407
38	0.6444481118
39	0.6433788038
40	0.6421884821
41	0.6411879894
42	0.6397481943
43	0.638394748
44	0.637352095
45	0.6367782354
46	0.6354767768
47	0.6347703581
48	0.6335508551
49	0.6327055568
50	0.6316026177
51	0.6300817073
52	0.6289233212
53	0.6281249494
54	0.6273936688
55	0.6266380203
56	0.6254504845
57	0.6241698258
58	0.6230469118
59	0.6222760258
60	0.6213264863
61	0.6204960471
62	0.6194488325
63	0.6185509025
64	0.6175888056
65	0.6164681463
66	0.615365138
67	0.6141530555
68	0.6126258248
69	0.6119094697
70	0.6104884037
71	0.6095349494
72	0.6088235297
73	0.6076945427
74	0.6064791024
75	0.6051473463
76	0.6039579312
77	0.6030949155
78	0.6023652414
79	0.6011628435
80	0.6003562116
81	0.5992338157
82	0.5979265078
83	0.5968218586
84	0.595657643
85	0.5947045058
86	0.5940107129
87	0.5934086155
88	0.5922704324
89	0.5917328751
90	0.5908843603
91	0.589836167
92	0.5889860642
93	0.5877921272
94	0.5868607745
95	0.5860038083
96	0.5850850866
97	0.5842335548
98	0.5831283883
99	0.5823568709
100	0.5812711767
101	0.5802652828
102	0.5793390451
103	0.5783636305
104	0.5775981222
105	0.5763539576
106	0.5760548034
107	0.5746249262
108	0.5738513102
109	0.5730754888
110	0.5721606288
111	0.5710316278
112	0.5698948996
113	0.5688435097
114	0.5677095181
115	0.5662604512
116	0.564914604
117	0.5633091581
118	0.5623433995
119	0.5617764887
120	0.560851401
121	0.5598241753
122	0.5587871921
123	0.558012604
124	0.5573666213
125	0.5562310697
126	0.5552167186
127	0.5544206809
128	0.5530013906
129	0.5518853804
130	0.5508706113
131	0.5501028263
132	0.5490477453
133	0.5480473365
134	0.5472836634
135	0.5466313473
136	0.5450242486
137	0.5437707231
138	0.5428362629
139	0.5419555527
140	0.5414211412
141	0.5406480792
142	0.5396267374
143	0.5385400027
144	0.5376222516
145	0.5369457411
146	0.536443377
147	0.5358883547
148	0.5348672175
149	0.5341427356
150	0.5333084913
151	0.5321827619
152	0.5311852237
153	0.5299764239
154	0.5288347182
155	0.5278560887
156	0.5272980413
157	0.5258969135
158	0.5251273344
159	0.5241219519
160	0.5231661517
161	0.5221580289
162	0.5212120267
163	0.5203245797
164	0.5195171244
165	0.5185096588
166	0.5175605858
167	0.5170269925
168	0.5160499859
169	0.5149899703
170	0.5141469071
171	0.5133591166
172	0.512497534
173	0.5112739341
174	0.5103535281
175	0.509110617
176	0.5082774615
177	0.5074988659
178	0.5068148614
179	0.5059702407
180	0.5055182492
181	0.5048451074
182	0.504316135
183	0.503122106
184	0.5019837209
185	0.5014466323
186	0.5008833357
187	0.499828428
188	0.4990802201
189	0.4982644632
190	0.4975882
191	0.4969886942
192	0.4960386643
193	0.4956084615
194	0.495009121
195	0.4939911358
196	0.4934223934
197	0.4925470245
198	0.491923316
199	0.4908796869
200	0.4902693294
201	0.489795761
202	0.4890738111
203	0.4884882043
204	0.4877376096
205	0.4869617301
206	0.4860809773
207	0.4855553353
208	0.4848661515
209	0.4842071533
210	0.4830034938
211	0.4824923038
212	0.4815688564
213	0.4806202665
214	0.4802154196
215	0.4793021351
216	0.4785683946
217	0.4776000752
218	0.4770833681
219	0.4760452623
220	0.4756074198
221	0.4751544278
222	0.4747445944
223	0.4740279865
224	0.4734591588
225	0.4728057348
226	0.4720236744
227	0.470979018
228	0.4703324794
229	0.4696049503
230	0.4689697958
231	0.46825181
232	0.4675751431
233	0.4668000248
234	0.466020264
235	0.4653819089
236	0.4644641324
237	0.4639089987
238	0.4632244989
239	0.462581377
240	0.46211936
241	0.4617336569
242	0.4610606156
243	0.4604695248
244	0.4596680701
245	0.4587481287
246	0.4580736179
247	0.457288709
248	0.4566041102
249	0.4559654917
250	0.4552936352
251	0.4546339243
252	0.4537890793
253	0.4532815413
254	0.4529453659
255	0.4520823448
256	0.4511839538
257	0.450733775
