,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
890,003280,흥아해운,0.3,0.42857142857142855,0.5,1.0
375,002840,미원상사,0.4444444444444444,0.29411764705882354,0.0,1.0
599,008730,율촌화학,0.5714285714285714,0.5666666666666667,0.5555555555555556,1.0
583,047400,유니온머티리얼,0.6190476190476191,0.6521739130434783,0.47058823529411764,1.0
581,014830,유니드,0.2777777777777778,0.34375,0.6,1.0
564,007310,오뚜기,0.36363636363636365,0.44,1.0,1.0
562,012160,영흥,0.5,0.5128205128205128,0.5333333333333333,1.0
46,267250,HD현대,0.4230769230769231,0.45714285714285713,0.8,1.0
529,002310,아세아제지,0.3684210526315789,0.25,0.4,1.0
496,011930,신성이엔지,0.6875,0.5217391304347826,0.75,1.0
435,023000,삼원강재,0.55,0.5581395348837209,0.5833333333333334,1.0
404,006400,삼성SDI,0.3333333333333333,0.39473684210526316,0.3888888888888889,1.0
378,134380,미원화학,0.5,0.4090909090909091,0.25,1.0
66,002380,KCC,0.6923076923076923,0.5666666666666667,0.7142857142857143,1.0
365,009200,무림페이퍼,0.5,0.32432432432432434,0.6,1.0
670,009310,참엔지니어링,0.5416666666666666,0.5,0.7692307692307693,1.0
352,071840,롯데하이마트,0.6666666666666666,0.6086956521739131,0.7142857142857143,1.0
345,004000,롯데정밀화학,0.5416666666666666,0.5172413793103449,0.5789473684210527,1.0
339,032350,롯데관광개발,0.4642857142857143,0.5135135135135135,0.6363636363636364,1.0
79,000040,KR모터스,0.5789473684210527,0.43333333333333335,0.7142857142857143,1.0
335,092200,디아이씨,0.4074074074074074,0.41935483870967744,0.5833333333333334,1.0
316,030720,동원수산,0.6,0.6551724137931034,0.7333333333333333,1.0
273,001070,대한방직,0.3333333333333333,0.16666666666666666,0.2,1.0
268,024890,대원화성,0.4117647058823529,0.47058823529411764,0.5769230769230769,1.0
179,012205,계양전기우,0.5,0.5384615384615384,0.5555555555555556,1.0
152,100840,SNT에너지,0.45454545454545453,0.5128205128205128,0.5217391304347826,1.0
136,006120,SK디스커버리,0.5833333333333334,0.35714285714285715,0.7,1.0
130,123700,SJM,0.6666666666666666,0.4444444444444444,1.0,1.0
655,001630,종근당홀딩스,0.3888888888888889,0.2857142857142857,0.3333333333333333,1.0
1,006840,AK홀딩스,0.625,0.5517241379310345,0.5,1.0
767,027970,한국제지,0.4,0.44,0.25,1.0
720,214420,토니모리,0.3684210526315789,0.40625,0.5,1.0
849,011210,현대위아,0.3076923076923077,0.5483870967741935,0.625,1.0
819,005110,한창,0.47058823529411764,0.44,0.7,1.0
757,010040,한국내화,0.46153846153846156,0.42424242424242425,1.0,1.0
693,120110,코오롱인더,0.42105263157894735,0.4583333333333333,0.5294117647058824,1.0
857,011760,현대코퍼레이션,0.55,0.5384615384615384,0.6,1.0
738,003670,포스코퓨처엠,0.48148148148148145,0.3888888888888889,0.41935483870967744,1.0
302,000640,동아쏘시오홀딩스,0.5416666666666666,0.6486486486486487,0.6,0.8888888888888888
431,000075,삼양홀딩스우,0.5555555555555556,0.6923076923076923,0.0,0.8888888888888888
556,111770,영원무역,0.5882352941176471,0.5806451612903226,0.5,0.8571428571428571
354,001080,만호제강,0.5,0.5714285714285714,0.7142857142857143,0.8461538461538461
570,006980,우성,0.4375,0.47368421052631576,0.5333333333333333,0.8333333333333334
488,017550,수산중공업,0.6538461538461539,0.4838709677419355,0.8333333333333334,0.8333333333333334
582,000910,유니온,0.7,0.4444444444444444,0.47368421052631576,0.8333333333333334
341,000400,롯데손해보험,0.4,0.5666666666666667,0.3548387096774194,0.8333333333333334
811,003300,한일홀딩스,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.8333333333333334
520,308170,씨티알모빌리티,0.3793103448275862,0.35294117647058826,0.5882352941176471,0.8333333333333334
476,058650,세아홀딩스,0.56,0.59375,1.0,0.8181818181818182
257,003545,대신증권우,0.5675675675675675,0.5405405405405406,0.7857142857142857,0.8181818181818182
490,204210,스타리츠,0.625,0.65625,0.5652173913043478,0.8
256,003547,대신증권2우B,0.5,0.5666666666666667,0.5,0.8
285,069460,대호에이엘,0.6086956521739131,0.34375,0.45454545454545453,0.8
482,068270,셀트리온,0.29411764705882354,0.30434782608695654,0.26666666666666666,0.8
293,001230,동국홀딩스,0.5357142857142857,0.5428571428571428,0.65,0.8
244,000490,대동,0.4838709677419355,0.4857142857142857,0.5161290322580645,0.8
604,139480,이마트,0.35714285714285715,0.34615384615384615,0.35714285714285715,0.7777777777777778
213,008350,남선알미늄,0.4444444444444444,0.4117647058823529,0.6666666666666666,0.7777777777777778
203,214330,금호에이치티,0.42857142857142855,0.37037037037037035,0.5,0.7777777777777778
552,900140,엘브이엠씨홀딩스,0.4230769230769231,0.3103448275862069,0.6363636363636364,0.7777777777777778
394,002070,비비안,0.4166666666666667,0.42424242424242425,0.5625,0.7692307692307693
359,017180,명문제약,0.37037037037037035,0.4074074074074074,0.5789473684210527,0.7692307692307693
157,071970,STX중공업,0.4838709677419355,0.53125,0.5,0.75
338,115390,락앤락,0.42857142857142855,0.4074074074074074,0.125,0.75
138,210980,SK디앤디,0.5,0.5862068965517241,0.4117647058823529,0.75
246,005750,대림B&Co,0.6666666666666666,0.5333333333333333,0.6875,0.75
88,051900,LG생활건강,0.4,0.37142857142857144,0.35,0.75
760,004090,한국석유,0.4,0.4117647058823529,0.0,0.75
790,003680,한성기업,0.7142857142857143,0.6190476190476191,0.6428571428571429,0.75
224,090350,노루페인트,0.625,0.6052631578947368,0.6,0.75
