,Ticker,Name,Precision_SVM
210,32190,다우데이타,0.61122449
788,237690,에스티팜,0.611185984
1144,204270,제이앤티씨,0.610606061
1496,79170,한창산업,0.610185185
1102,48530,인트론바이오,0.610185185
767,95910,에스에너지,0.610185185
46,35900,JYP Ent.,0.609243697
1139,90470,제이스텍,0.606617647
587,43100,솔고바이오,0.606060606
1189,86060,진바이오텍,0.605682606
765,260970,에스앤디,0.605555556
520,107600,새빗켐,0.604347826
79,36120,SCI평가정보,0.603896104
132,60480,국일신동,0.60341556
1098,17250,인터엠,0.603303471
1335,33830,티비씨,0.603303471
419,208710,바이오로그디바이스,0.603211009
131,6050,국영지앤엠,0.602956989
432,66410,버킷스튜디오,0.602564103
467,142760,비엘,0.601752022
539,140070,서플러스글로벌,0.601515152
423,86040,바이오톡스텍,0.600925926
1085,352940,인바이오,0.599688474
130,43650,국순당,0.599514563
236,120240,대정화금,0.598792271
1470,101680,한국정밀기계,0.597826087
650,66790,씨씨에스,0.596926714
558,340440,세림B&G,0.596846847
646,37760,쎄니트,0.596534653
1432,304840,피플바이오,0.596296296
440,310210,보로노이,0.596153846
1535,65510,휴비츠,0.596064815
1016,78070,유비쿼스홀딩스,0.595794393
809,44780,에이치케이,0.59502924
1001,335870,윙스풋,0.593271153
1449,101670,하이드로리튬,0.592857143
1333,322180,티라유텍,0.592424242
589,357780,솔브레인,0.592424242
1063,47560,이스트소프트,0.592424242
1136,79370,제우스,0.592272727
598,94840,슈프리마에이치큐,0.591666667
390,87260,모바일어플라이언스,0.591666667
771,351320,에스에이티이엔지,0.591584158
24,50120,ES큐브,0.591121495
1076,99750,이지케어텍,0.590206186
946,46970,우리로,0.589837997
745,52790,액토즈소프트,0.588647343
719,158430,아톤,0.588386728
483,65450,빅텍,0.588164251
1097,119610,인터로조,0.588095238
345,67730,로지시스,0.587622549
812,45660,에이텍,0.587601078
978,65950,웰크론,0.587037037
106,114190,강원에너지,0.586789555
58,60720,KH바텍,0.586633663
1528,192410,휴림네트웍스,0.58655706
400,6920,모헨즈,0.586407767
682,159010,아스플로,0.586180124
925,153710,옵티팜,0.583708371
1384,389140,포바이포,0.583333333
1505,220180,핸디소프트,0.583333333
1280,322780,코퍼스코리아,0.583333333
207,340360,다보링크,0.582407407
1306,219130,타이거일렉,0.581775701
493,23600,삼보판지,0.581683168
322,232680,라온테크,0.580662393
1407,377220,프롬바이오,0.580594679
1234,83550,케이엠,0.580275229
1152,199820,제일전기공업,0.580097087
480,148780,비플라이소프트,0.579230769
654,352700,씨앤투스,0.579044118
172,311390,네오크레마,0.57879538
1131,225220,제놀루션,0.578571429
722,53800,안랩,0.577956989
1069,83470,이엠앤아이,0.577868852
936,66430,와이오엠,0.577692308
1203,16920,카스,0.577205882
1038,39020,이건홀딩스,0.575854701
1515,39010,현대에이치티,0.574742268
1300,352770,클리노믹스,0.574324324
1420,237750,피앤씨테크,0.573232323
782,69510,에스텍,0.572789116
298,109740,디에스케이,0.57277628
601,33790,스카이문스테크놀로지,0.572222222
173,85910,네오티스,0.571980676
100,52220,iMBC,0.571746881
544,3100,선광,0.571706684
1506,900270,헝셩그룹,0.571100917
875,169330,엠브레인,0.571052632
1279,52330,코텍,0.571047009
842,92870,엑시콘,0.570987654
976,336060,웨이버스,0.56981982
1433,62970,피피아이,0.569230769
1428,147760,피엠티,0.569047619
956,46940,우원개발,0.568894389
219,317850,대모,0.568817204
949,72470,우리산업홀딩스,0.568181818
876,179290,엠아이텍,0.567757009
667,13990,아가방컴퍼니,0.566629339
1524,61250,화일약품,0.566513761
429,267790,배럴,0.566349384
1340,340570,티앤엘,0.565508021
304,219550,디와이디,0.565315315
1066,102710,이엔에프테크놀로지,0.565315315
1205,293490,카카오게임즈,0.564327485
254,77360,덕산하이메탈,0.563084112
619,25870,신라에스지,0.562174237
857,182400,엔케이맥스,0.561986085
1358,177830,파버나인,0.561942959
716,32080,아즈텍WB,0.561942959
330,171010,램테크놀러지,0.561926606
966,217820,원익피앤이,0.561926606
1060,351330,이삭엔지니어링,0.561827957
147,187790,나노,0.561764706
933,155650,와이엠씨,0.560869565
225,104040,대성파인텍,0.560817805
1392,114630,폴라리스우노,0.560810811
890,250930,예선테크,0.560810811
384,241770,메카로,0.560679612
215,4780,대륙제관,0.560606061
1448,3380,하림지주,0.55952381
835,83500,에프엔에스테크,0.558576481
138,186230,그린플러스,0.558441558
1292,66310,큐에스아이,0.558411215
51,36670,KCI,0.558210784
1498,2680,한탑,0.557692308
