,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
86,016250,SGC이테크건설,0.6313522825150732,0.6017123287671233,0.3958333333333333,0.84375
1372,091700,파트론,0.4677854938271605,0.43104575163398695,0.5984848484848485,0.8423423423423424
22,245620,EDGC,0.4451345755693582,0.46356421356421357,0.503030303030303,0.8392857142857143
311,068930,디지털대성,0.6039325842696629,0.5513869132290184,0.6136054421768707,0.8378378378378378
1198,362320,청담글로벌,0.6,0.6363636363636364,0.5529953917050691,0.8378378378378378
1315,191420,테고사이언스,0.5152272727272726,0.5242105263157895,0.6253369272237197,0.8348214285714286
1370,065690,파커스,0.46927710843373494,0.5323984526112185,0.4353553921568627,0.8333333333333333
1530,078590,휴림에이텍,0.7023809523809523,0.5476190476190476,0.675,0.8333333333333333
704,185490,아이진,0.5231164383561644,0.5916772959183674,0.6505952380952381,0.8303571428571428
325,388790,라이콤,0.5773993808049536,0.5289855072463768,0.4703125,0.8287671232876712
664,060590,씨티씨바이오,0.5382290184921764,0.5260188087774295,0.5557040998217468,0.8258928571428572
529,043710,서울리거,0.5583333333333333,0.493781887755102,0.5207602339181286,0.8258928571428572
1127,072520,제넨바이오,0.500445632798574,0.4699335548172758,0.5194444444444444,0.8214285714285714
1121,110020,전진바이오팜,0.5178571428571429,0.5190656131913431,0.6284313725490196,0.8198198198198199
158,293580,나우IB,0.5368396663577386,0.5327728208647906,0.5578014184397163,0.8194444444444444
260,261200,덴티스,0.5098752598752598,0.5322066326530612,0.5582107843137255,0.8169642857142857
979,076080,웰크론한텍,0.56876026272578,0.5047760210803689,0.5067632850241546,0.8153153153153153
892,122640,예스티,0.4381980640357409,0.4658307210031348,0.43435374149659867,0.8125
804,312610,에이에프더블류,0.5489771833202203,0.4548022598870056,0.5530024509803921,0.8125
696,069920,아이에스이커머스,0.5651062155782849,0.44662556781310836,0.6516544117647058,0.8080357142857143
760,389500,에스비비테크,0.5634920634920635,0.6904761904761905,0.30952380952380953,0.8076923076923077
98,040300,YTN,0.6154401154401155,0.4981132075471698,0.5381554307116104,0.8063063063063063
867,156100,엘앤케이바이오,0.5207191780821918,0.5195238095238095,0.4625850340136054,0.8063063063063063
488,122350,삼기,0.5339105339105339,0.5135281385281385,0.4043803418803419,0.8035714285714286
93,022220,TKG애강,0.5135281385281385,0.5015873015873016,0.577891156462585,0.8035714285714286
477,307870,비투엔,0.4902832674571805,0.5087884494664155,0.4497727272727273,0.8035714285714286
1007,086390,유니테스트,0.5936116382036685,0.5317982456140351,0.4612807148175726,0.8018018018018018
1052,041520,이라이콤,0.5656146179401993,0.5786163522012578,0.3806122448979592,0.8018018018018018
80,099220,SDN,0.4724899598393574,0.47936814958091556,0.47302697302697305,0.7991071428571428
571,347000,센코,0.490719696969697,0.490224358974359,0.5053630363036303,0.7991071428571428
1167,051980,중앙첨단소재,0.6067019400352733,0.5536679536679536,0.6343042071197411,0.7990654205607477
403,095500,미래나노텍,0.512531328320802,0.5525157232704403,0.6706495098039216,0.7972972972972974
1227,093320,케이아이엔엑스,0.45504201680672274,0.41677482154445167,0.5106837606837606,0.7954545454545454
938,273060,와이즈버즈,0.43718487394957983,0.5021594684385382,0.5427927927927928,0.7946428571428572
989,112040,위메이드,0.4717715768981181,0.5543000627746391,0.5456989247311828,0.7927927927927928
217,007720,대명소노시즌,0.5153225806451613,0.5144300144300145,0.48640776699029126,0.7927927927927928
306,104460,디와이피엔에프,0.5881642512077294,0.5030181086519114,0.5668449197860963,0.7901785714285714
952,153490,우리이앤엘,0.4329004329004329,0.5595611285266457,0.48858742463393623,0.7901785714285714
128,053270,구영테크,0.607641196013289,0.468358395989975,0.55,0.7901785714285714
928,112290,와이씨켐,0.6022727272727273,0.6833333333333333,0.5075757575757576,0.7846153846153847
1492,091440,한울소재과학,0.49834162520729686,0.5003273322422259,0.4589804858622063,0.7844036697247707
485,072950,빛샘전자,0.46923076923076923,0.5583494519664732,0.4766990291262136,0.7837837837837838
276,094170,동운아나텍,0.5014430014430014,0.5118429591174561,0.5570409982174688,0.78125
1453,126700,하이비젼시스템,0.42441860465116277,0.40548589341692787,0.5401234567901234,0.78125
1337,204610,티쓰리,0.5,0.38095238095238093,0.4,0.7777777777777778
1424,043370,피에이치에이,0.4817269076305221,0.5039867109634552,0.606060606060606,0.7772727272727273
1464,256840,한국비엔씨,0.42248062015503873,0.5423076923076924,0.5302197802197802,0.7767857142857143
459,082800,비보존 제약,0.5720904373610082,0.5233142037302726,0.5222772277227723,0.7731481481481481
1202,016790,카나리아바이오,0.5747767857142857,0.538105413105413,0.5931677018633541,0.7722772277227723
26,130500,GH신소재,0.5361757105943152,0.5811688311688312,0.6871657754010696,0.7613095238095238
430,046310,백금T&A,0.512687969924812,0.5632093316519546,0.5685861423220974,0.7558252427184466
1339,246710,티앤알바이오팹,0.5521594684385382,0.5637351778656127,0.5833333333333333,0.7531152647975078
187,104620,노랑풍선,0.654091213950369,0.5214621059691482,0.6476923076923078,0.7531152647975078
61,052900,KX하이텍,0.535737812911726,0.5939102564102564,0.7157483246463143,0.7417027417027418
309,043360,디지아이,0.586993970714901,0.5025406504065041,0.4789915966386554,0.7412621359223301
316,187220,디티앤씨,0.5757028112449799,0.509313725490196,0.4876237623762376,0.7410714285714286
1378,222110,팬젠,0.6166666666666667,0.5916772959183674,0.5657692307692308,0.7350427350427351
505,054090,삼진엘앤디,0.580054012345679,0.4874603174603175,0.6283003300330033,0.7333333333333334
