날짜,시가,고가,저가,종가,거래량,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,종가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목),target
2022-04-04,115000,117500,114500,117000,2470792,-1556.614654,-1329.268369,57.62711864,50.06563635,118400,119250,123600,118097.5,118103.3333,117872.2054,120094.7687,121494.0968,119981.1405,117321.7278,-850,-5200,302.5,296.6666667,-4350,1152.5,1146.666667,5502.5,5496.666667,-5.833333333,-2222.563274,-3621.891404,-2108.935121,550.4775822,-1399.32813,113.6281531,2773.040856,1512.956283,4172.368987,2659.412703,-1.709401709,0,-1.293103448,0.862068966,-35.84954452,6.227730163,4.466767615,15.25423729,3.923944252,-0.168634064,-0.313479624,-0.154830024,0.15052578,-0.079316678,-0.368615439,-0.270522901,-0.12523364,-0.0417418,-0.002294734,0,0,1,1.739130435,-0.434782609,2.173913043,2.183406114,2.620087336,-0.425531915,-1400,-2250,-6600,-1097.5,-1103.333333,-872.2053784,-3094.768653,-4494.096783,-2981.1405,-321.7277962,-29031,-1053,0,-10141,0,522,-60490,-18203,-21588,-138931,135308,5450,246130,1
2022-04-05,117500,118000,116000,116500,2101474,-1650.260267,-1393.466748,50,50.05250908,117700,119100,123400,118285,118017.9167,117414.8036,119752.4097,121330.3559,119923.601,117314.9085,-1400,-5700,-585,-317.9166667,-4300,815,1082.083333,5115,5382.083333,267.0833333,-2337.606148,-3915.552319,-2508.797402,99.89510719,-1577.946171,-171.1912538,2437.501255,1406.754918,4015.447426,2608.692509,2.173913043,0.425531915,1.310043668,-0.427350427,-14.94735291,6.015979124,4.8296026,-13.23529412,-0.026220122,-0.591216216,-0.125786164,-0.161812298,0.15876712,-0.072323671,-0.388048897,-0.285073965,-0.134772703,-0.047957131,-0.005812494,0,0,0,-0.85106383,-1.276595745,0.425531915,0.431034483,1.724137931,-1.271186441,-1200,-2600,-6900,-1785,-1517.916667,-914.8035856,-3252.409733,-4830.355905,-3423.600987,-814.9084784,6335,-13511,0,-95755,-306,-8,-25036,1153,-115854,-229471,58387,183977,-521934,-1
2022-04-06,114500,115500,113000,113000,4541938,-1984.025231,-1511.578445,25,45.04200727,116100,118850,123191.6667,118464.1667,117915.8333,115943.2024,119109.3231,121057.2295,119809.1613,117279.1001,-2750,-7091.666667,-2364.166667,-1815.833333,-4341.666667,385.8333333,934.1666667,4727.5,5275.833333,548.3333333,-3166.120702,-5114.027091,-3865.958911,-1335.897719,-1947.90639,-699.8382093,1830.222983,1248.06818,3778.129372,2530.061192,-2.553191489,-2.118644068,-2.586206897,-3.004291845,116.1310585,20.2249894,8.476104415,-50,-10.0104908,-1.359388275,-0.209907641,-0.168827661,0.151470319,-0.086498166,-1.253335312,-0.537013529,-0.225109719,-0.095427159,-0.03052329,0,0,0,-1.310043668,-1.310043668,0.873362445,0,2.212389381,-2.164502165,-3100,-5850,-10191.66667,-5464.166667,-4915.833333,-2943.20239,-6109.323092,-8057.229482,-6809.161301,-4279.100109,-35335,-871,0,-178265,-211,3005,-133423,-30656,-185715,-560600,-1142198,1694156,-393527,-1
2022-04-07,111500,114500,110500,113500,5027865,-2183.025984,-1645.867953,26.66666667,41.36693915,115200,118525,123000,118643.3333,117815.8333,115128.8016,118575.1018,120809.4515,119704.8776,117247.7383,-3325,-7800,-3443.333333,-2615.833333,-4475,-118.3333333,709.1666667,4356.666667,5184.166667,827.5,-3446.300252,-5680.649872,-4576.07605,-2118.936689,-2234.349621,-1129.775798,1327.363563,1104.573822,3561.713183,2457.139361,-2.620087336,-0.865800866,-2.212389381,0.442477876,10.69867092,10.03015232,8.884058136,6.666666667,-8.159201472,-0.775193798,-0.273453934,-0.155584117,0.151241233,-0.084806253,-0.702413578,-0.448513377,-0.204678413,-0.087041472,-0.02674119,0,0,0,1.793721973,-0.896860987,2.69058296,2.714932127,3.619909502,-0.873362445,-1700,-5025,-9500,-5143.333333,-4315.833333,-1628.801594,-5075.101845,-7309.451466,-6204.877644,-3747.738283,-10523,3987,0,-60504,-5980,2942,-120232,-1866,59670,-136493,-506428,637267,297852,1
2022-04-08,113000,114000,110500,112000,4268316,-2433.718585,-1803.438079,27.27272727,38.54809677,114400,118275,122750,118795,117707.5,114085.8677,117948.9017,120520.617,119577.5243,117204.1886,-3875,-8350,-4395,-3307.5,-4475,-520,567.5,3955,5042.5,1087.5,-3863.03394,-6434.749262,-5491.656565,-3118.320858,-2571.715322,-1628.622625,744.7130821,943.0926975,3316.428404,2373.335707,1.34529148,-0.436681223,0,-1.321585903,-15.10678986,11.48372045,9.573679727,2.272727273,-6.814239663,-0.694444444,-0.210925965,-0.203252033,0.127834125,-0.091951421,-0.90588441,-0.52810427,-0.23908268,-0.10638944,-0.037143314,0,0,0,-0.884955752,-2.212389381,0.884955752,1.357466063,3.167420814,-1.754385965,-2400,-6275,-10750,-6795,-5707.5,-2085.867729,-5948.901669,-8520.616992,-7577.524294,-5204.188587,-56373,22654,0,-71800,-89,-1770,-133019,-13350,-9718,-286119,-552608,813110,-29128,-1
2022-04-11,111000,113000,110500,111500,2390786,-2642.281523,-1971.206768,21.42857143,35.1241917,113300,118050,122533.3333,118904.1667,117595,113223.9118,117334.7206,120224.8591,119444.0115,117156.8509,-4750,-9233.333333,-5604.166667,-4295,-4483.333333,-854.1666667,455,3629.166667,4938.333333,1309.166667,-4110.808739,-7000.947238,-6220.099676,-3932.939103,-2890.138499,-2109.290938,177.8696354,780.8475616,3068.008135,2287.160573,-1.769911504,-0.877192982,0,-0.446428571,-43.98760542,8.569722837,9.302714112,-21.42857143,-8.882163726,-0.961538462,-0.190234623,-0.176510523,0.091895001,-0.095575898,-0.755532589,-0.520717957,-0.245400282,-0.111653757,-0.040389055,0,0,0,0.45045045,-0.45045045,1.801801802,0.904977376,2.262443439,-1.327433628,-1800,-6550,-11033.33333,-7404.166667,-6095,-1723.911819,-5834.720558,-8724.859057,-7944.011496,-5656.850923,-12795,-5141,0,-36741,-5192,204,-10071,-3260,-18401,-86256,-4919,94660,430207,1
2022-04-12,110500,113000,110500,111000,2738163,-2815.460103,-2140.057435,20.93023256,32.28539987,112200,117975,122250,119020,117505.4167,112482.6079,116731.4138,119922.4047,119304.4411,117105.7567,-5775,-10050,-6820,-5305.416667,-4275,-1045,469.5833333,3230,4744.583333,1514.583333,-4248.805959,-7439.796782,-6821.833178,-4623.148845,-3190.990824,-2573.02722,-374.3428859,617.9636042,2816.647938,2198.684334,-0.45045045,0,0,-0.448430493,14.52982408,6.554130544,8.565852643,-2.325581395,-8.082155607,-0.970873786,-0.063532402,-0.231229597,0.097417388,-0.076179543,-0.654723837,-0.514175784,-0.251573924,-0.116850093,-0.043611789,0,0,0,0.452488688,0,2.262443439,0.452488688,2.262443439,-1.769911504,-1200,-6975,-11250,-8020,-6505.416667,-1482.60788,-5731.413838,-8922.404662,-8304.441058,-6105.756724,42515,33116,0,-84839,3667,11515,-5570,-4334,-9140,-46186,-112520,125545,89852,1
2022-04-13,112000,113000,111000,113000,2484490,-2759.512152,-2263.948378,31.70731707,32.16978331,112200,117800,121991.6667,119147.5,117422.0833,112655.0719,116376.0411,119695.4406,119200.2354,117071.6841,-5600,-9791.666667,-6947.5,-5222.083333,-4191.666667,-1347.5,377.9166667,2844.166667,4569.583333,1725.416667,-3720.969172,-7040.368655,-6545.163501,-4416.612135,-3319.399483,-2824.194329,-695.6429625,495.2051542,2623.75652,2128.551366,1.357466063,0,0.452488688,1.801801802,-9.264349858,-1.987169024,5.789141047,51.49051491,-0.358107877,0,-0.148336512,-0.21131561,0.107124853,-0.070918717,0.153325073,-0.304436257,-0.18925912,-0.087344307,-0.02909564,0,0,0,0.892857143,-0.892857143,0.892857143,1.801801802,1.801801802,0,800,-4800,-8991.666667,-6147.5,-4422.083333,344.9280803,-3376.041092,-6695.440575,-6200.235421,-4071.684054,35259,9593,0,8456,8040,-74,21551,-6836,268024,334420,-480241,136375,-143814,-1
2022-04-14,113000,113000,110000,110000,4715700,-2923.547094,-2395.868122,30.95238095,31.92630284,111500,117100,121666.6667,119248.3333,117328.3333,111770.0479,115768.7991,119377.5573,119048.1654,117012.9979,-5600,-10166.66667,-7748.333333,-5828.333333,-4566.666667,-2148.333333,-228.3333333,2418.333333,4338.333333,1920,-3998.751137,-7607.509331,-7278.117467,-5242.949933,-3608.758194,-3279.366331,-1244.198797,329.3918637,2364.559398,2035.167534,0.892857143,0,-0.900900901,-2.654867257,89.80555365,5.944345724,5.826976644,-2.380952381,-0.756860778,-0.623885918,-0.594227504,-0.26641164,0.084628996,-0.079840178,-0.785605085,-0.521792976,-0.265576781,-0.127575257,-0.050128411,0,0,0,-2.654867257,-2.654867257,0,0,2.727272727,-2.654867257,-1500,-7100,-11666.66667,-9248.333333,-7328.333333,-1770.047946,-5768.799083,-9377.557277,-9048.165414,-7012.99788,-59313,8004,0,-348678,-3192,313,-107292,-11633,-111665,-641460,-691427,1319327,-495248,-1
2022-04-15,108000,108500,107000,108000,3694012,-3178.291883,-2552.352874,28.26086957,31.19321619,110700,116300,121325,119345.8333,117230.4167,110513.3653,115028.9135,119004.5226,118865.5511,116938.2012,-5600,-10625,-8645.833333,-6530.416667,-5025,-3045.833333,-930.4166667,1979.166667,4094.583333,2115.416667,-4515.548158,-8491.157315,-8352.185812,-6424.835919,-3975.609156,-3836.637653,-1909.287761,138.9715032,2066.321396,1927.349893,-4.424778761,-3.982300885,-2.727272727,-1.818181818,-21.66567,8.713551739,6.53144265,-8.695652174,-2.296183993,-0.717488789,-0.683176772,-0.280821918,0.081762149,-0.083455261,-1.124346524,-0.639106247,-0.312483078,-0.153395312,-0.063921671,0,0,0,0,-0.925925926,0.462962963,0.934579439,1.401869159,-0.460829493,-2700,-8300,-13325,-11345.83333,-9230.416667,-2513.365298,-7028.913456,-11004.52261,-10865.55111,-8938.201217,-78703,26406,0,-211317,-2265,-2535,-110305,-9630,-222333,-637088,-326753,933641,769611,1
