,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
0,END,0.046387025,0.021429948,0.338899374,0.42265341,0.138773271
1,RSI_minus_Signal_Binary,0.026384264,0.19090269,0.274374272,0.358032013,0.135160611
2,SMA_120,0.019148205,0.342553872,0.269964364,0.353875419,0.133035827
3,SMA_240,0.014938272,0.459040172,0.254044314,0.337741178,0.126536472
4,SMA_5,0.013996615,0.487839336,0.24599665,0.33035752,0.121828886
5,MACD_Binary,0.007389413,0.714180671,0.234006839,0.318095109,0.117290884
6,SMA_60,0.007306774,0.717239098,0.10063163,0.101191268,0.102473412
7,MACD_minus_Signal_Binary,0.003667499,0.855760731,0.089224351,0.089380421,0.074409336
8,SMA_20,0.002058709,0.918728047,0,0.000937773,0.0504913
