,날짜,시가,고가,저가,종가,거래량,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,종가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목)
0,2014-03-21,-0.8511488511488512,-0.8348940364711681,-0.8355196770938446,-0.8210735586481114,0.4623058642352643,-0.3008607142491292,-0.25368909210302504,-0.22744805577227092,-0.9915439479937644,-1.2828798115149833,-1.2522546230027591,-1.2675443239678583,-1.336290077534062,-1.426000255477135,-1.2692142527829153,-1.2637868804772647,-1.288238534726282,-1.3464707250161891,-1.4157289797711163,-0.4475559715157359,-0.281577324964224,-0.09682833949165895,1.3225297235027782e-05,-0.09540127508059627,0.0521032969140533,0.11153863830774802,0.17518704721117637,0.17956286114511422,0.13982663546252652,-0.2747607457550168,-0.17915918050207555,-0.060666801696485195,0.0028416069296266096,-0.08974645073230857,0.025410779128495185,0.07049308227067275,0.1426995382253701,0.14074999886172282,0.12824213876462207,0.5330386945998822,1.801123532422882,0.8976125075561535,2.0752963898659464,1.7298130000222827,-0.1488543079672396,0.07694203742539149,2.3427450613939613,1.4653781669291202,0.35949484344343224,-0.3060560906458934,0.36456188155282776,0.808040879587921,0.5481783048382266,1.4848108344354043,0.337261695853153,0.23094725803117436,0.44231461981610476,0.6440083253038981,0,0,1,3.475935829,0.0,3.609625668,3.475935829,3.609625668,-0.129032258,0.722296559578721,-0.0023692013101789477,-0.0640251131239679,0.042172685668823734,0.10086990255444277,0.6138702580119978,0.08140546954525013,-0.006287182724883702,0.05205704398524891,0.08567811530571909,0.4806831332483898,-1.2686387501600718,0.4058269793924748,-0.11849802394908676,0.3075632601705578,4.527522935779817,3.981942097613337,2.029861330726696,0.1833842772263626,1.3316082837245382,1.3745960967035857,-1.9285760139184935,1.1000654007875177
1,2014-03-24,-0.8241758241758241,-0.8339083292262198,-0.8234106962663976,-0.8320079522862823,-0.1361754744945124,-0.2740309632594721,-0.260423452843764,-0.4368155526693548,-0.8986754933075295,-1.2737750744293603,-1.2533672708044015,-1.2669201701502117,-1.3341108052689814,-1.424582522558484,-1.2634672718276412,-1.2631273671457237,-1.287435971184976,-1.345114652941814,-1.4142623529929383,-0.3486180177555632,-0.24222004141190612,-0.075148097698848,0.017587784591483042,-0.10645545968321901,0.040904917919208784,0.10580186748648647,0.1665787467320732,0.17757449774657927,0.1432176726752067,-0.2111377880780734,-0.15185364197096587,-0.044094591493618086,0.014948124063233235,-0.09075401458146973,0.022633220712921856,0.06845897381605934,0.13838028003222086,0.13847099026741297,0.12784407891644944,1.4814784688071323,0.02572145166914511,0.7488117833888884,-0.6713061356956483,-0.6805171526132199,-0.0983135220271712,0.0322344972976706,-0.4990627633664068,0.6990382796197048,0.7548967638982357,-0.3352005357564043,-0.018623841347254776,0.6653522573537203,0.5188658307228137,0.442034145433494,-0.010764942503047072,0.03379178062566255,0.29652251914385547,0.5315752091290806,0,0,1,-1.548387097,-1.935483871,0.129032258,0.394736842,2.105263158,-1.675257732,0.30675876947081576,-0.1235942922673899,-0.14033465286873892,-0.01480362337892178,0.06007242555397972,0.16323838058121734,-0.07455179470000618,-0.094523263456391,-0.012513914212314493,0.036516693784792977,0.09563164108618655,-2.8032782686643616,0.010692454337263155,0.23810748416351118,0.0,-1.8946483180428135,-0.5866558469906064,-0.7485265790759854,0.34685349910132685,0.04304416417533186,-0.07984235935087487,0.1075735522421692,-1.930635639293613
2,2014-03-25,-0.8341658341658341,-0.8437654016757024,-0.8335015136226034,-0.8429423459244533,-0.36531787754191575,-0.2748413603710234,-0.2659837808040842,-0.8458696478469068,-0.9235914406230429,-1.265926163148651,-1.255036242506865,-1.2664588393649314,-1.332085199861492,-1.4233174685695338,-1.2653955816559346,-1.2641981501840898,-1.287249917487404,-1.3440879522346427,-1.412967712890999,-0.2565296146403256,-0.2079489298739819,-0.056880486494371406,0.03265169255798134,-0.12006060994139255,0.028260081712186035,0.09906945875409688,0.15789218891271237,0.17552822075743832,0.14657972657110055,-0.22201904604997594,-0.16341372381062727,-0.054748913096314133,0.006505864983210954,-0.10116892744787494,0.013484812581885613,0.061674109717087554,0.1315529148271798,0.13436450153063398,0.12632850939899265,-0.5797655801387499,-0.6974234614245204,-0.684835377851977,-0.6804456699700311,-0.44341660004179534,-0.002794760363239533,0.026601287954349927,-0.9659348206941333,-0.21400968029572928,0.6359374069586409,-0.4370075318875664,-0.06967282649245093,0.5965946969599112,0.41951017891898784,-0.23720560077803368,-0.32463882919329357,-0.15643118974724388,0.15365105259428602,0.4205028379844517,0,0,0,-1.699346405,-1.960784314,0.130718954,0.266666667,2.133333333,-1.82767624,-0.0889915068224273,-0.24070008401731696,-0.21597383061116887,-0.07135531217552414,0.019577152086853452,-0.1371828712442482,-0.21565598618472404,-0.17986635791250197,-0.0760175837062811,-0.012236749090185487,0.07213578500707214,-0.04748367268536304,0.023314807220971304,-0.2802474719258885,0.6822312316510555,-6.599847094801223,1.0691346484718063,-0.5880075515817114,0.3888999553525432,0.1768833183707978,-0.7029095123579344,0.48488080062779954,0.32430153459452793
3,2014-03-26,-0.8371628371628371,-0.8417939871858058,-0.8304742684157417,-0.827037773359841,-0.3459166339576993,-0.2409019104617408,-0.2631935231961131,-0.38120814267733283,-0.8308266379895713,-1.2571353825142564,-1.256387314837431,-1.2651562577111612,-1.3298081396266053,-1.421979710444672,-1.258303477333249,-1.2627415202453396,-1.2862114964059748,-1.3426317388039049,-1.4114513580757369,-0.15835272206292347,-0.17307232167999498,-0.03644485120697034,0.04968301152995045,-0.13689698340271866,0.015895204868050624,0.09293759354894361,0.15264895124742928,0.17568265678284378,0.15069534447752705,-0.15142388376631113,-0.12996998199724985,-0.033550972781398826,0.0221656160803035,-0.0974529682585406,0.013860463800431403,0.06190955235566509,0.12840473436178027,0.13284485672507051,0.1262870990591633,-0.20193735683607852,0.09308563088035196,0.1575549666896923,0.9117328746356778,-0.1499366077477957,-0.15258148384369533,0.000906050158543836,1.1102824209818893,0.6820667687231403,0.7151478923967958,-0.37927815233433504,0.19341610239364576,0.7045949863004382,0.4653195846920703,0.559193609655208,0.13397004615068858,0.10629225335186789,0.3385681450272666,0.5610825515427811,0,1,1,0.787401575,-1.181102362,0.787401575,1.992031873,1.992031873,0.0,0.1682461727681807,-0.042385250752365086,-0.11407880829322543,-0.003531887411765457,0.07218934819936453,0.21588833438330365,-0.009547623186694382,-0.061873665423290335,0.00679357512848601,0.050613282756064394,-0.08104316925199014,-0.08385196568062492,0.03118091119197783,-0.09822022400170262,0.0,-0.01529051987767584,0.2905288459069268,1.743246221813338,0.036679602981076344,0.23714166180021093,0.2520184404500396,-0.35264987206881687,1.3124411914435128
4,2014-03-27,-0.8381618381618382,-0.8417939871858058,-0.8324924318869829,-0.8409542743538767,-0.3355076753468759,-0.24278579169529074,-0.26136310651128436,-0.43135124084325027,-0.7687763479029929,-1.2524260357458308,-1.2592484091845115,-1.2645863782376365,-1.3276428371672893,-1.420649222628707,-1.2609058464538896,-1.2635458714063255,-1.2859582813250363,-1.3415902674821827,-1.4101509882708703,-0.08529084851694982,-0.15381752756613162,-0.028214389012765826,0.057567337629375,-0.15883528821596177,-0.0014156226241519292,0.08321827108316991,0.14380587893537045,0.17377151135068072,0.15437621388423406,-0.17400314606238942,-0.1455821930044973,-0.04674660083102383,0.011867649888370612,-0.10619460842615427,0.0058451155807610145,0.055913163164169215,0.12202326126696418,0.12898620146440712,0.12483471264464788,-0.09217568099694509,-0.04009610078595564,-0.16923255706096296,-0.8505054470096767,-0.16242034121177398,0.005893441656700209,0.0035482747607023415,-0.1811102960147684,0.4337867258046592,0.3485780235321973,-0.656069845993672,-0.03596116900153739,0.6541458217859996,0.4596415506177586,-0.2956473832287749,-0.2762718634877992,-0.13580419018530712,0.15910572966050968,0.42215602659685797,0,1,1,-0.919842313,-1.314060447,0.919842313,0.399467377,2.263648469,-1.822916667,-0.2522384957933901,-0.18597225169197415,-0.21027575370523124,-0.07436625533658386,0.02120329493211919,-0.16356646202163075,-0.1939286948130433,-0.17056919991696598,-0.07316980218486292,-0.010612575589075024,0.12719323880439992,0.9949033166858753,-0.5254831442446004,0.3731942855622656,-0.5284496015657766,3.006880733944954,-0.4587816565403401,-0.5783668267065328,0.407798422456526,0.17605529455857616,-1.6137506720309145,1.214744904041787,-2.217112315513601
5,2014-03-28,-0.8421578421578422,-0.8516510596352883,-0.8435923309788093,-0.8538767395626242,0.17806815476381982,-0.2706261760206211,-0.26583649992756503,-0.36409817051752985,-0.7028247642149652,-1.262786598636367,-1.261950553845643,-1.2644506925401537,-1.3259944131627144,-1.4193187348127423,-1.2694475954146842,-1.2662442826089206,-1.2864108731305477,-1.3409287779435837,-1.4090502823664899,-0.1598748444284646,-0.20237836051381217,-0.0647496113253624,0.03162394057596126,-0.1770321767112683,-0.016440114479562912,0.0738782392502069,0.13535409294896528,0.1706248779932591,0.1559123248047273,-0.24739679245364973,-0.1900651758320096,-0.0805808912807135,-0.014168394499746993,-0.12498350445113941,-0.009061819963177876,0.04474766826435573,0.11279414549430196,0.12304573849492724,0.1221013452320997,-0.2580825846739286,-0.7042706211655022,-0.7579517738828554,-0.8064430967792638,0.509547017406962,0.16920170142954882,0.023019827209835485,0.0725250411361229,0.45319067069116464,-0.979984262609626,-0.6281346056650392,-0.17165306154502213,0.42821716081125494,0.45864297291295875,-0.818728724400676,-0.6199969162849691,-0.3531478099429258,-0.004867970655480956,0.2941103567350832,0,0,1,-2.113606341,-2.245706737,0.132100396,0.135135135,2.432432432,-2.242744063,-0.4105386063106873,-0.3189667689557104,-0.29798144726187753,-0.13914013516564755,-0.026329003668420285,-0.39604180632598857,-0.34838766215661404,-0.2682736259384697,-0.14643127883076013,-0.06721185842527691,-1.8998445299075362,-3.54959661928544,-1.4050233277934232,-0.6129689241237832,-2.9637914161890118,-0.5837920489296636,-2.4192966868166015,-0.1502266432835964,-0.2770889858158464,-1.4333157559857406,-1.048689079957397,1.8170878853820445,0.6701505608840342
6,2014-03-31,-0.8591408591408591,-0.8674223755544603,-0.8728557013118062,-0.8747514910536779,2.651591049968578,-0.33519550807943466,-0.28318639844038535,-0.7052414457514778,-0.7328033299915075,-1.2762867260391872,-1.2666395695811363,-1.2642064584800718,-1.32500256499998,-1.418126384959704,-1.2861377528826077,-1.2718690845028067,-1.287975364768068,-1.340864230577471,-1.408263813062557,-0.24587475808153778,-0.2659555108753813,-0.10903351258485551,-0.0010879375658130934,-0.20866415109315373,-0.036270577245605486,0.06009734623279941,0.13120645729602043,0.16815390205008024,0.15527469378310096,-0.386464511953352,-0.2734006136521282,-0.14246995229744105,-0.06169714741616635,-0.15912256372713796,-0.03457480231770359,0.02561149578505856,0.09906534965872654,0.11382453287562341,0.11735933485154607,-0.9816636831266912,-1.1167948486351393,-1.9628774356272503,-1.3015242240026204,2.2227068416737623,0.28403428748762904,0.06023264516086296,-0.7992339685740454,-0.23870044792486478,-1.266809762095552,-0.9947621580904722,-0.13775903018717978,0.14278796254034096,0.3691972253309967,-1.5462942593547089,-1.1531993589142968,-0.6956945547185212,-0.26187571599494064,0.09357248745287715,0,0,0,-2.702702703,-3.918918919,0.27027027,1.265822785,4.360056259,-2.964959569,-0.7172450704379507,-0.5314049137884927,-0.43976300792138434,-0.23915749068235695,-0.1012179173811842,-0.7149815289818316,-0.5870322693622693,-0.4221931919398342,-0.26152335708306057,-0.15628925457075624,-0.44694729213181056,-5.627199385324626,-3.0153794500438993,0.4502853967324956,-0.3886481196700685,-0.9570336391437309,-3.5494255471041103,-4.205330190035362,0.7162184748886675,-1.1757545911741378,-2.236532970012748,2.7104549843377646,0.7056097186960979
7,2014-04-01,-0.8661338661338661,-0.8674223755544603,-0.851664984863774,-0.8548707753479126,0.9639413126054999,-0.3421668803563608,-0.29855315390573295,-0.24650240337947976,-0.6455250374327708,-1.280054203453928,-1.2697390884571402,-1.2638265387225072,-1.3238570499796545,-1.4168104381105135,-1.2867924689272803,-1.2739263985566711,-1.2884154769749958,-1.3402426468532804,-1.4071932969923127,-0.2527243087264728,-0.285089205655707,-0.12388849310464113,-0.012202341373353959,-0.23094258466999387,-0.051015109626145354,0.049840695395829984,0.12698056430281784,0.16574083960484573,0.15478197906716723,-0.3692906346187606,-0.2746749655338571,-0.14702587314941265,-0.06611027126544337,-0.17267833218015513,-0.04643614743143094,0.016463938147117465,0.0902679188648836,0.10804726825856494,0.11455220901375271,-0.4348978686002401,-0.04009610078595564,1.4112732360134348,1.201731888146186,-0.88233162413799,0.012512177566674713,0.046762670563992914,1.0311592430667353,0.6009384580896355,-0.4062052111804657,-0.7045759691455074,-0.09540914061776001,0.20895387298854448,0.4474551625840915,-0.12602955459300677,-0.5062765019768258,-0.3495284070103546,-0.02220834549523012,0.2737867319504227,0,0,1,0.954979536,-0.136425648,1.227830832,1.092896175,1.366120219,-0.269541779,-0.16319468362741038,-0.2730660063602616,-0.3072547881132647,-0.1496784362293566,-0.03474753066851583,-0.08733269088399916,-0.29610672771166735,-0.26654607543225195,-0.1541252195603773,-0.07576985780977377,0.8527593019042164,-1.2,-0.43246189147118597,-0.30720571325535545,4.5211799245072,7.312691131498471,-1.177831305500059,3.019693528447805,0.27789492965163537,0.36702809179733464,1.2093160114348946,-1.2354287496020573,0.5598234215335113
8,2014-04-02,-0.8501498501498501,-0.8555938886150813,-0.8476286579212916,-0.8538767395626242,-0.01967310336248185,-0.3436182730930711,-0.31115610764934604,-0.4534002185309154,-0.62588275753217,-1.288531027637094,-1.2735538809199143,-1.2641521841359498,-1.3226556564068164,-1.4156398995331467,-1.2867053437302778,-1.2756361882168539,-1.2887875048384734,-1.3396034319214092,-1.4061171363033382,-0.29838797969270636,-0.32287219787058236,-0.1533575625012871,-0.03359426528299363,-0.2533910826184287,-0.06846591685578346,0.03819331218798258,0.11837226363589726,0.16170619930983154,0.15510079443886096,-0.34713694660046746,-0.2722375784763745,-0.14890143305315587,-0.06851037708031485,-0.18389357967830136,-0.056812652336913926,0.008349857773857034,0.08190076628287807,0.10252185368152349,0.11182837529037479,0.8812650794779395,0.7848408779115887,0.22945566099678325,0.022925088374121248,-0.8487470848815744,-0.002557688389139252,0.035982371378728444,-0.49669271879831056,0.11177311511514215,-0.8317612144643997,-0.8384986219837701,-0.31567575151799415,0.23264946114337717,0.35358469382423535,-0.059339127302141186,-0.4433264190615901,-0.32857110682142504,-0.014763469772412389,0.27674756380006515,0,0,1,-1.068090788,-1.73564753,0.667556742,0.679347826,2.445652174,-1.724137931,-0.004894573110113155,-0.2330499569180755,-0.29921044424605864,-0.1483659738227296,-0.03361066978041688,-0.05829601212130987,-0.26776642269522655,-0.25712123205644644,-0.15072590373577396,-0.07416973681603271,-0.050720656481232536,-0.3148674606223588,-0.5651795294006101,1.6739057821289325,0.1537816300852789,1.1743119266055047,-0.11901986061107202,0.9515951278881446,0.20720083341919382,0.7473416077607621,-0.5770505453330339,0.0466513210384894,-1.3169339730191558
9,2014-04-03,-0.8531468531468531,-0.8624938393297191,-0.8536831483350151,-0.8638170974155069,-0.49644705544223594,-0.3637045029911978,-0.3255224109564611,-0.5673150974602055,-0.6377974954624555,-1.2957520260153466,-1.2776070979116116,-1.2648306122977186,-1.3218314442368926,-1.414512983507123,-1.291883287751753,-1.2786990368029931,-1.289683877780892,-1.339253834486019,-1.4051951933487696,-0.32959148818629924,-0.35326813065682977,-0.17788835461031732,-0.052079119234186226,-0.27515932303966945,-0.08549678498509868,0.026071815689121824,0.10984222049705183,0.1567835519845631,0.15402841519575405,-0.3740447206938873,-0.2959268801380379,-0.16923485109613762,-0.08491762430249171,-0.20212331491630706,-0.07203542901948715,-0.0034250869165380585,0.07147803772308542,0.09547192756998034,0.10814161150082151,-0.20546135661463957,-0.5136507722706777,-0.43907265704261084,-0.6393402423714074,-0.6933702588725594,0.04524517246122448,0.036794385109179366,-0.32374959081994953,-0.10828596619441566,-0.72332510473662,-0.8850436631436693,-0.4258466658614076,0.06917607683180685,0.32497714995734267,-0.5328610397705201,-0.6917333683201843,-0.4904321031406703,-0.13938864544535823,0.1782714436398463,0,0,0,-2.010723861,-2.144772118,0.134048257,0.136986301,2.328767123,-2.141900937,-0.13846029135908267,-0.32073218290168926,-0.36345346813639157,-0.19696568459524166,-0.07037876635941477,-0.26437794634685574,-0.3781072188014038,-0.3297059251201237,-0.20656488567439438,-0.11788614299084466,-0.10846669082492665,4.000153668843642,-0.476823059214653,-1.4484379295361232,-1.1100237662519223,2.646177370030581,-2.0776243278361846,-0.7334425821042847,-0.17145997183775802,-1.1798489510245704,0.35971555191052423,0.3067505479489743,1.2029763031024567
