날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적,
2024-02-14,390000 ,390000 ,380000 ,388000 ,387700 ,383475 ,412583 ,445525 ,505017 ,23392 ,6312667 ,
2024-02-13,395000 ,395500 ,390000 ,393500 ,387900 ,384050 ,413642 ,446675 ,505567 ,44287 ,6289275 ,
2024-02-08,397500 ,397500 ,386500 ,394000 ,386700 ,385025 ,414367 ,447913 ,506077 ,-37183 ,6244988 ,
2024-02-07,382000 ,394000 ,382000 ,386000 ,384200 ,386100 ,414725 ,449188 ,506656 ,52803 ,6282171 ,
2024-02-06,385000 ,387500 ,376000 ,377000 ,383200 ,387325 ,415142 ,450604 ,507335 ,-11054 ,6229368 ,
2024-02-05,389000 ,393000 ,385500 ,389000 ,382800 ,389350 ,416008 ,452071 ,507960 ,-30908 ,6240422 ,
2024-02-02,384500 ,392500 ,381500 ,387500 ,380500 ,390650 ,416817 ,453204 ,508527 ,47400 ,6271330 ,
2024-02-01,378000 ,383000 ,373000 ,381500 ,379200 ,392075 ,417742 ,454258 ,509088 ,8098 ,6223930 ,
2024-01-31,379000 ,387500 ,377000 ,381000 ,376500 ,393950 ,419608 ,455579 ,509756 ,21632 ,6215832 ,
2024-01-30,382500 ,387500 ,373000 ,375000 ,376400 ,395700 ,419958 ,456929 ,510460 ,17744 ,6194200 ,
2024-01-29,385000 ,387000 ,377500 ,377500 ,376100 ,398425 ,420233 ,458338 ,511173 ,3106 ,6176456 ,
2024-01-26,364000 ,392000 ,362000 ,381000 ,375000 ,400925 ,420233 ,459833 ,511858 ,31867 ,6173350 ,
