날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240
2019-12-05,6500,6500,6500,6500,3057720,,6500.0,6500.0,0.0,0.0,,,,,,,,6500.0,6500.0,6500.0,6500.0,6500.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0
2019-12-06,6500,6600,6200,6300,10934926,-3.076923076923077,6469.2307692307695,6485.185185185185,-15.954415954415708,-3.1908831908831417,,,,,,,,6433.333333333334,6480.952380952381,6493.442622950819,6496.694214876034,6498.340248962655,,,,,,,,,,,-47.619047619046796,-60.10928961748505,-63.360881542699644,-65.00691562932116,-12.49024199843825,-15.741833923652848,-17.38786801027436,-3.2515919252145977,-4.89762601183611,-1.646034086621512,0.0,1.538461538461533,-4.61538461538461,257.61698258833377,-inf,-inf,,,,,,,,-1.025641025641011,-0.293040293040292,-0.10088272383355079,-0.05085823267640954,-0.025534631343770986,0,0,0,-3.076923076923077,-4.615384615384616,1.5384615384615385,1.6129032258064515,6.451612903225806,-4.545454545454546,,,,,,-133.33333333333394,-180.95238095238074,-193.442622950819,-196.69421487603358,-198.3402489626551
2019-12-09,6230,6280,5990,6120,1774692,-2.857142857142857,6415.502958579882,6458.134430727023,-42.63147214714081,-11.079000982134676,,,,,,,,6328.88888888889,6446.575963718821,6481.198602526202,6490.4678642169265,6495.200495859231,,,,,,,,,,,-117.68707482993159,-152.3097136373126,-161.5789753280369,-166.31160697034102,-34.62263880738101,-43.891900498105315,-48.62453214040943,-9.269261690724306,-14.00189333302842,-4.7326316423041135,-4.153846153846152,-4.848484848484846,-3.387096774193543,-83.7704251496535,167.20797720797597,247.207977207976,,,,,,,,-1.6234887737478387,-0.5304223085266346,-0.18855976922534934,-0.0958387520356152,-0.04831623127037332,0,0,0,-1.7656500802568218,-3.8523274478330656,0.8025682182985553,2.1702838063439067,4.841402337228715,-2.547770700636943,,,,,,-208.8888888888896,-326.5759637188212,-361.1986025262022,-370.4678642169265,-375.2004958592306
2019-12-10,6160,6170,6050,6100,522713,-0.32679738562091504,6366.964041875284,6431.605954376873,-64.6419125015891,-21.791583286025563,,,,,,,,6252.592592592593,6413.568729078933,6468.7002876892775,6484.01384993235,6491.920823694424,,,,,,,,,,,-160.97613648633978,-216.10769509668444,-231.42125733975718,-239.32823110183108,-55.131558610344655,-70.4451208534174,-78.3520946154913,-15.313562243072738,-23.22053600514664,-7.906973762073903,-1.1235955056179803,-1.7515923566879033,1.001669449081799,-70.54626943717558,51.62955733379355,96.69267401605386,,,,,,,,-1.2055243445692865,-0.5120118777107718,-0.19283955952303922,-0.0994383520509845,-0.050493778704707726,0,0,0,-0.974025974025974,-1.7857142857142856,0.16233766233766234,0.8264462809917356,1.9834710743801653,-1.1345218800648298,,,,,,-152.59259259259306,-313.56872907893285,-368.7002876892775,-384.01384993235024,-391.92082369442414
2019-12-11,6100,6120,6000,6020,612664,-1.3114754098360655,6313.584958509857,6401.116624423031,-87.53166591317404,-34.93959981145526,,,6208.0,,,,,6175.061728395063,6376.085992976177,6453.988802847006,6476.344199520246,6488.004468311068,,,,,,,,,,,-201.02426458111404,-278.92707445194264,-301.2824711251824,-312.94273991600494,-77.9028098708286,-100.25820654406834,-111.9184753348909,-22.35539667323974,-34.015665464062295,-11.660268790822556,-0.9740259740259716,-0.8103727714748765,-0.8264462809917328,17.208487257826,35.410080744474,60.335297132178624,,,,,,,,-1.2399794653082052,-0.5844286961923406,-0.22742566803209963,-0.11828553407832176,-0.06032660424726277,0,0,0,-1.3114754098360655,-1.639344262295082,0.32786885245901637,0.33333333333333337,2.0,-1.6339869281045754,-188.0,,,,,-155.06172839506326,-356.0859929761773,-433.9888028470059,-456.34419952024564,-468.0044683110682
2019-12-12,6020,6070,5920,5970,513808,-0.8305647840531563,6260.7257341237255,6369.182059650955,-108.45632552722964,-49.64294495461014,,,6102.0,,,,,6106.707818930043,6337.411136502255,6438.12031750776,6467.974873908342,6483.705676042927,,,,,,,,,,,-230.70331757221265,-331.4124985777171,-361.2670549782988,-376.99785711288405,-100.70918100550443,-130.56373740608615,-146.2945395406714,-29.854556400581714,-45.58535853516696,-15.730802134585247,-1.3114754098360604,-0.8169934640522847,-1.3333333333333308,-16.135434757060963,23.905245485458448,42.08217959707212,,,-1.7074742268041287,,,,,-1.106934836792084,-0.6065610864804172,-0.24587097722026385,-0.12922916624048542,-0.06625754173162912,0,0,0,-0.8305647840531563,-1.6611295681063125,0.8305647840531563,0.8445945945945946,2.5337837837837838,-1.6474464579901154,-132.0,,,,,-136.70781893004278,-367.41113650225543,-468.12031750775986,-497.9748739083416,-513.7056760429268
2019-12-13,6000,6090,5920,6040,555263,1.1725293132328307,6226.767928873922,6344.798203380515,-118.03027450659283,-63.32041086500668,,,6050.0,,,,,6084.471879286695,6309.086266359183,6425.06719234357,6460.900909050352,6480.023471262488,,,,,,,,,,,-224.61438707248817,-340.59531305687506,-376.4290297636571,-395.5515919757927,-115.98092598438689,-151.81464269116896,-170.93720490330452,-35.83371670678207,-54.95627891891763,-19.122562212135563,-0.33222591362126463,0.32948929159801743,0.0,8.068188895462903,8.827469428659107,27.55168115610831,,,-0.8521796132415549,,,,,-0.3641231953888324,-0.44694701879015586,-0.20274745609666356,-0.1093690837687955,-0.05679167075773872,0,0,0,0.6666666666666667,-1.3333333333333335,1.5,2.027027027027027,2.871621621621622,-0.8210180623973727,-10.0,,,,,-44.471879286695184,-269.08626635918336,-385.06719234357024,-420.9009090503523,-440.0234712624879
2019-12-16,6050,6190,6000,6130,430734,1.490066225165563,6211.880555201011,6328.887225352329,-117.00667015131785,-74.05766272226892,,,6052.0,,,,,6099.647919524464,6292.030431467832,6415.392858168371,6455.431472537123,6477.118712164874,,,,,,,,,,,-192.38251194336863,-315.7449386439075,-355.78355301265947,-377.47079264040985,-123.36242670053889,-163.40104106929084,-185.08828069704123,-40.03861436875195,-61.72585399650234,-21.687239627750387,0.8333333333333304,1.6420361247947435,1.3513513513513598,-22.427030074036992,-0.8672388161037548,16.95701545612689,,,0.03305785123965954,,,,,0.2494224731226513,-0.27033763957697854,-0.15057171988376306,-0.0846543940268063,-0.04482636691820474,0,0,0,1.322314049586777,-0.8264462809917356,2.3140495867768593,2.166666666666667,3.166666666666667,-0.9693053311793215,78.0,,,,,30.35208047553624,-162.0304314678324,-285.3928581683713,-325.4314725371232,-347.1187121648736
2019-12-17,6130,6150,6060,6070,166404,-0.9787928221859705,6190.052777477778,6309.710393844749,-119.65761636697061,-83.17765345120925,,,6046.0,,,,,6089.765279682976,6270.884676089943,6404.068502162851,6449.060704396014,6473.740133640684,,,,,,,,,,,-181.1193964069671,-314.3032224798744,-359.2954247130383,-383.97485395770764,-133.18382607290732,-178.1760283060712,-202.85545755074054,-44.99220223316388,-69.67163147783322,-24.679429244669336,1.3223140495867813,-0.646203554119551,1.0000000000000009,-61.367340400339884,2.265636832690343,12.314715849380953,,,-0.0991407799074695,,,,,-0.1620198406838247,-0.3360720455536037,-0.17651851189599554,-0.09868849461436291,-0.052161750839063714,0,0,0,-0.9787928221859705,-1.1419249592169658,0.3262642740619902,0.16501650165016502,1.4851485148514851,-1.3008130081300813,24.0,,,,,-19.765279682976143,-200.88467608994324,-334.06850216285056,-379.06070439601444,-403.7401336406838
2019-12-18,6120,6140,6040,6040,180036,-0.4942339373970346,6166.967734788889,6289.731846152545,-122.7641113636555,-91.09494503369851,,,6050.0,,,,,6073.176853121984,6248.8956593194725,6392.131829960789,6442.299370439056,6470.140630456944,,,,,,,,,,,-175.71880619748845,-318.9549768388051,-369.12251731707147,-396.96377733495956,-143.23617064131668,-193.40371111958302,-221.2449711374711,-50.167540478266346,-78.00880049615444,-27.84126001788809,-0.16313213703099683,-0.1626016260162566,-0.330033003300334,8.192110766568117,2.596153166847115,9.51853202631332,,,0.06615944426067166,,,,,-0.27239845542709196,-0.3506525459527565,-0.18639201310900466,-0.10484215092517735,-0.055601601383958865,0,0,0,-1.3071895424836601,-1.3071895424836601,0.32679738562091504,0.0,1.6556291390728477,-1.6286644951140066,-10.0,,,,,-33.176853121984095,-208.89565931947254,-352.1318299607892,-402.29937043905556,-430.14063045694365
