,날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목)
1185,2019-01-21,-0.2817182817182817,-0.2700837851158206,-0.2785065590312815,-0.2584493041749503,15.196145434369848,1.6198756947486976,-0.44225954782111,-0.442719063635595,-0.07577259517437088,-0.5705175079342496,0.9395398768966504,0.44953384009678976,-0.4063133996853574,-0.5011378820511413,-0.3410559857144589,-0.1312083938322689,0.15661863694193562,-0.40257220301856506,-0.4505311301278829,-0.3462084254769019,-0.17727733539337806,-0.017584060210742148,0.8591860793013139,-0.3587176006878214,-0.8699297023528132,-1.2283412897536126,-1.0797338971757575,-1.3270703960886778,-1.536273712414749,-1.232035319525282,-1.3863216004642527,-1.1687949132603226,0.5249525935698803,-0.3854556690665814,-0.8779943171093985,-1.056799428052854,-0.9467900582608975,-1.2716626429970004,-1.3116286139415392,-1.4713111803157835,-1.3223368980689472,-1.095650267103949,0.18787333278782423,-0.5166346523242412,0.0,0.4492744626826406,0.32937229134628826,0.34541284403669725,-0.06050116328637389,-0.002549137988864292,0.11968723884099781,0.2653119034960037,1.4402144864431703,-1.3530258705281404,1.7485692944781908
1186,2019-01-22,-0.24175824175824176,-0.2582552981764416,-0.26437941473259335,-0.2664015904572565,15.213713232827269,-0.30366597435154186,-0.4288226398842096,-0.43573275966696307,0.032377608969732505,-0.4485361402593616,0.8429114423190178,0.5645677556825667,-0.38998766422148184,-0.4884219071752277,-0.34002477513000867,-0.13509196865443687,0.15532450101943604,-0.3877759295440419,-0.44107005376898095,-0.3457628373674326,-0.179368728469337,-0.019453487835807026,0.8957170160743008,-0.2877533909993478,-0.808662945022285,-1.1890811626732405,-1.004565441992206,-1.2693054244775994,-1.5031173890908278,-1.2043322432365096,-1.3799511156903757,-1.1797505719474433,0.5931100104856,-0.30661864289632396,-0.8161349943610829,-1.0117903225437004,-0.8716770866372086,-1.2203606053057294,-1.2779411231044395,-1.450446173443271,-1.3135432167974537,-1.0976228715038834,-1.329608285503875,-0.8944038929440389,0.0,-2.2045752155624725,1.1103033692157136,-1.1685015290519878,-0.6521593984807942,-0.508294281689331,-1.2343121429634463,-1.8385092084963959,1.7313519735992606,-0.3268736710681632,-0.9093318980510184
1187,2019-01-23,-0.2897102897102897,-0.27402661409561363,-0.28254288597376387,-0.2624254473161034,14.854025294223796,0.09660051327623695,-0.4164800450978843,-0.4287901362475832,0.12311909221470342,-0.3315979321528549,1.5750320267100488,0.8341611436965026,-0.37742940617234677,-0.4776133285307012,-0.34013332349260755,-0.13964608912421056,0.15408852896403533,-0.37581733604473894,-0.4319036742172884,-0.3451172418439998,-0.18131393213542807,-0.021249286817467412,0.9139824844607941,-0.2291413133375262,-0.757031850614427,-1.1583954246927959,-0.9344989181605718,-1.2160198043524753,-1.4746389845830135,-1.1794464289432056,-1.376978223104772,-1.1937204858419774,0.6294710550111581,-0.2444046969548759,-0.7652629593487733,-0.9747148090165574,-0.8006346793919208,-1.170999409150108,-1.2453451991637003,-1.4290892046369281,-1.3042235076552675,-1.0990816408634827,-1.4438028218406256,-0.34549878345498786,0.0,0.8697047895217572,-0.12246609814064029,-0.5081039755351682,-0.7948661321883651,-0.608879816768728,0.981103822509187,0.28561809798572313,-0.05455443274330258,-0.11968017859271768,-1.2016915827282812
1188,2019-01-24,-0.26173826173826176,-0.20896993592902907,-0.2401614530776993,-0.18886679920477137,15.749072350342292,2.4333989001655665,-0.38803760431584733,-0.4135960528946009,0.3453990211767389,-0.19064006473117032,1.8004559123260324,1.1045094656262182,-0.3422662836347687,-0.46155941024986036,-0.3381251769934756,-0.1440046336543718,0.15371046661974105,-0.32909833553593276,-0.4123926512330554,-0.340522400271799,-0.18116200094248933,-0.02195506198817899,1.1012035354223517,-0.07534515911985205,-0.6365860628765885,-1.0787005972812969,-0.844024668717192,-1.1449100977352125,-1.4355088337923239,-1.143448081160726,-1.3702602573432292,-1.2102988900392313,0.9723472528506282,-0.012267677376039237,-0.5931668670212387,-0.8453392158985287,-0.6754818422560491,-1.0840912616325102,-1.1845162881959705,-1.3915614604207573,-1.283153499159021,-1.0933919940094794,0.5407319952774499,-2.2102702010500703,0.0,0.7675649791162308,-3.1539214315671744,0.7203363914373089,0.006235009527135645,0.47275968145358366,-1.6425822257329623,-0.34377587574413193,4.121816216859192,-3.1792071541895006,2.078329800049063
1189,2019-01-25,-0.16783216783216784,-0.12419911286347955,-0.15539858728557013,-0.1073558648111332,15.784561174889776,2.5568181861565424,-0.34402641006049484,-0.3898140823208759,0.6849129576164062,-0.005463097270612147,1.9923132087349622,1.3673205962276516,-0.2794749933890935,-0.43851170578726706,-0.334651625808206,-0.1471617842764218,0.1538704162073198,-0.255016907988216,-0.3823094726480545,-0.33167856238066046,-0.17872435623110755,-0.021463629667833033,1.4893447386353367,0.19979252777337064,-0.43479921988403397,-0.9380747588427044,-0.7178369000144705,-1.0531767098771005,-1.3808593756205725,-1.1057280733951163,-1.3608010529878598,-1.224036938234192,1.5265747328578385,0.3476226910411541,-0.3278292257780083,-0.644139022841554,-0.49675139261911755,-0.959413048079457,-1.0950618029496202,-1.3368760603414473,-1.2495329787829261,-1.0799715444881797,-0.7320771038142775,-0.77874247662953,0.0,-0.05254492301234699,0.7809310778694254,0.15642201834862385,-0.23393098347773836,-0.38202570221085014,0.34830053462467514,-0.061456798947102355,3.715057327073827,-3.036634302850383,0.7439946982428776
1190,2019-01-28,-0.10589410589410589,-0.12222769837358305,-0.15338042381432895,-0.16302186878727634,15.419370944880994,-1.7116167164867775,-0.32040681188525905,-0.37442726326981624,0.8241615810312029,0.17237707086620296,1.4053581346023127,1.4352112371749903,-0.24933517407116937,-0.42229883782047734,-0.33269775332755047,-0.15121299576194613,0.1534923538630255,-0.2349510448230644,-0.3635803770824835,-0.32612932313292564,-0.1778896930969492,-0.02178988099733542,1.6263357515340373,0.3305798085171699,-0.33065376205138547,-0.8696558395716649,-0.6260021356799645,-0.982533602309967,-1.3413499341970723,-1.07176441476898,-1.3542375226030912,-1.2393400805273127,1.546331462308725,0.42849349777886814,-0.25655880836021777,-0.5885153828988672,-0.38582808564033805,-0.8789019527381852,-1.0376345691604085,-1.2968792674711673,-1.2260584977799343,-1.0721172300682276,-0.7826574865278736,-0.7602509924446151,0.0,0.6397852799725688,-5.568852229833636,-1.1451070336391438,-0.7880969867544567,-1.3180576718511916,-0.3258073748440201,-0.42848489074443696,-0.08954308158357482,0.3504109126019748,-1.2964041052003354
1191,2019-01-29,-0.17182817182817184,-0.14391325776244454,-0.1574167507568113,-0.1312127236580517,15.030020550611814,0.9566757453455986,-0.29263777346850167,-0.3563896236233875,0.9887294830163574,0.34974783119671227,1.2093555352832663,1.4419858864312893,-0.20663709670411023,-0.4017943283330667,-0.3299297673132885,-0.1546216008761208,0.15366684406839792,-0.2048185142965348,-0.3417841372751957,-0.3190450909683717,-0.17617586049706213,-0.021648507475376676,1.8439992498064173,0.5158617895708856,-0.18981248759636332,-0.7741629960881319,-0.5117188733970237,-0.8989190392231172,-1.2928007331973053,-1.0367051545061408,-1.3468245948662163,-1.2541794912821667,1.6539767376726942,0.5565135169091852,-0.15111622586318188,-0.5065339997053387,-0.2618074714060151,-0.7883471944962196,-0.97223274098791,-1.25112111400209,-1.198181657614688,-1.0613363839014998,-0.5118706675862391,-0.09752849276475861,0.0,2.2305047871569994,0.29609953865510974,0.7149847094801223,-0.3473732326007796,-0.8441096704328743,-0.1385399136815835,0.5170006362709294,-0.10374044385734398,-0.2238867759900747,-0.8882361771694914
1192,2019-01-30,-0.12987012987012986,-0.09462789551503203,-0.1170534813319879,-0.08151093439363817,15.484130546363318,1.481961303396887,-0.25697960625284216,-0.33376531585692853,1.2088563406964066,0.5385925389407563,1.270023006095927,1.4621197067205454,-0.1494970225805458,-0.3774750263828821,-0.32813871753935425,-0.15666117642464766,0.154495672543917,-0.15855002192481837,-0.3144842490418988,-0.30951041679972113,-0.1730950969140346,-0.02078187415128996,2.165167068935593,0.7723501790295586,-0.008581725611498139,-0.6475733133521199,-0.3668240230025808,-0.806439092616037,-1.2365708968831217,-1.0149496311937007,-1.3439289199689994,-1.265946680196034,1.8952635305596837,0.7601622181182852,0.009246672674182848,-0.38224395658598004,-0.11182556447300923,-0.6788790724354935,-0.8922089865814546,-1.1958665604146077,-1.1631973053211955,-1.045993495899623,0.12114977731539388,-1.7012165450121655,0.0,-0.7214876692649446,-0.5880050328533483,0.19954128440366972,0.522117848870354,-0.8606886505860143,-0.18419022106215155,-0.306440717853065,2.353539519330622,-1.7430292898869515,0.4640355598516387
1193,2019-01-31,-0.061938061938061936,-0.07885657959586002,-0.1029263370332997,-0.12127236580516898,15.307860792924444,-1.2127730111753396,-0.2365363419407629,-0.3175551142626851,1.2820170655222918,0.70527183898497,0.9530823224474988,1.4013569520542641,-0.12814798389701623,-0.3517251772591572,-0.3262933934212976,-0.15928747878619218,0.155033684126809,-0.14864847102129114,-0.29584793473440407,-0.30243452465958653,-0.17118146174346988,-0.020503579496912044,2.1255918874315243,0.862932480829602,0.06448871891733839,-0.600737186267298,-0.21308582493828437,-0.7069601592491628,-1.1762952940718179,-0.9895942732344856,-1.3401066291046735,-1.2789891310140347,1.789266147654309,0.7772233666694277,0.039252508658839544,-0.35587321287270185,-0.014028984708758336,-0.6033489790392859,-0.8367208268434971,-1.1518129327011581,-1.135867111956704,-1.0347495399647562,0.38868692064011595,0.17574593417851198,0.0,-0.11550069316969208,-0.6942541590940864,-0.7981651376146789,-0.013260951070069386,-1.5034739192517417,0.5828439285182768,0.13008036188998615,-0.23462819767373613,0.11244319082511356,-0.9316051362602841
1194,2019-02-01,-0.0919080919080919,-0.09265648102513553,-0.08274470232088799,-0.08151093439363817,15.024460754496014,1.1698744494533,-0.20950916399632855,-0.2978074364757191,1.406298897633965,0.8651217945624003,1.631720309182892,1.517341501981222,-0.11998511616507845,-0.3237500325321474,-0.32314548797511655,-0.16026535747843482,0.15573164494829875,-0.12110332630326867,-0.27292292276681457,-0.29344445945308517,-0.1681832501780514,-0.01964644759171035,1.9368487141044255,0.8866679503948007,0.09235184451281059,-0.5838233246908788,-0.05322530923127981,-0.6051482301837069,-1.1110573052283808,-0.9659605754462176,-1.333002573974579,-1.2858291719338484,1.8507016081755154,0.8810095865153741,0.1307197624794057,-0.28271571599418394,0.1039600003862416,-0.5131627939759722,-0.7698761292666572,-1.1004784982439026,-1.103030947701655,-1.0199082047778782,0.13953733035641228,-0.43519016519400694,0.0,-1.5038382978471834,-1.3918635537536699,-0.5059633027522936,0.07631980360233581,-0.5868192316169777,-1.2267793156346236,-1.1672368409584157,2.083454696703742,-1.0316755775244628,1.5966197636910189
1195,2019-02-07,-0.04995004995004995,-0.05717102020699852,-0.044399596367305755,-0.06560636182902585,15.262220342549561,0.43281247776226794,-0.18274840121284203,-0.2776272571570977,1.5190867865838091,1.0170568741045174,1.5668500432554218,1.5943957081420934,-0.08921738394469761,-0.29513908906134195,-0.31994330785916714,-0.16138293288723124,0.15613878887716143,-0.09436225228303907,-0.24975581141997422,-0.2838906826290211,-0.16478811308259453,-0.01856397036394319,1.9612026719530833,1.0147910456932359,0.18999322974016616,-0.5155805915484014,0.11037662271203043,-0.5006300262691525,-1.0436700028243027,-0.9412312756456116,-1.3249719019507593,-1.2920895483264885,1.8991157228273985,0.977415169746734,0.2178515803889525,-0.21230751880842968,0.2194013727483873,-0.4235694703623715,-0.7029190819830552,-1.0476339786900057,-1.0687790170495508,-1.003839341864035,-0.32065414333641157,-1.065590984761173,0.0,0.7271867360723143,0.4266741227457011,0.05198776758409786,-0.40571730857134053,0.17713634054950214,-0.4820826321393001,-0.06962590755767839,1.4110121509449909,-1.1109916009542762,-0.06049275585188765
1196,2019-02-08,-0.0959040959040959,-0.11039921143420404,-0.1170534813319879,-0.12922465208747516,15.204921557317748,-1.8984080901976663,-0.17567112832612397,-0.2665230768228416,1.4544848626933973,1.124826802832681,0.9286552947210007,1.5012532979278546,-0.08858947104224085,-0.27240928397064645,-0.31961766244572454,-0.16314311433210402,0.1561533294949551,-0.1100454468546267,-0.2384968271606661,-0.2780840154130422,-0.1632350250847452,-0.018420310773150223,1.749627663142868,1.0162442377015002,0.1969790854289608,-0.5142004673797315,0.2542510868360899,-0.414682467483721,-0.9894630498345375,-0.9294926839978267,-1.3240838952911516,-1.2994512871399024,1.5645978940157814,0.8607832238447524,0.15456580973414624,-0.25550923987484847,0.2660878275128219,-0.37961800645574445,-0.6693291904057764,-1.0113409586037778,-1.0460335944308616,-0.9941721127415734,-0.7499970776298409,-0.29642719938532464,0.0,-1.1875755614083316,-0.18593597092129177,0.08440366972477065,-2.07585757060609,-1.8016463981446875,0.9071859509335898,-0.7778956864317403,-0.8441083920325111,1.1809495860741699,-0.7996221399619943
1197,2019-02-11,-0.13986013986013987,-0.13799901429275505,-0.13319878910191726,-0.1172962226640159,15.031666742586037,0.3267849582199531,-0.1667639573089887,-0.25481995861220336,1.4103828120480755,1.2016367723524608,0.9681425947214962,1.4363164970691231,-0.0998919032864624,-0.25571956694600995,-0.31896637161883934,-0.16423275046464433,0.15609516632581832,-0.11421767677237075,-0.226491051742423,-0.27182387990676293,-0.16137274586711972,-0.018103499237764175,1.4802120044420901,0.9610229413874515,0.1654222890416471,-0.5394538024192846,0.35731010014481335,-0.3522515045874628,-0.9495111032290511,-0.9196322670136873,-1.3220762270535427,-1.3037408043905692,1.3645886560583815,0.8049210589969717,0.13274807851471718,-0.26768523159087626,0.3153180221792065,-0.33362355744121747,-0.6339603546283937,-0.9737504961644142,-1.0221188334547742,-0.9835329672172871,0.2933475165698388,0.5853246254321937,0.0,-1.672238627730926,2.9797287851251224,0.09648318042813456,-0.6088635744991192,-0.733921743380387,0.5058533960687341,-0.49558750468487156,0.1789844292295689,0.1287879879628089,0.05306004386398503
